,Parameter,Skew Model RMSE,Normal Model RMSE
0,alpha,0.75,1.5379999999999998
1,beta,0.29700000000000015,0.3039999999999998
2,sigma_v,0.11499999999999999,0.1379999999999999
3,sigma_u,0.15700000000000003,0.16900000000000004
4,lambda,0.373,
