,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Normal,0,-903.48441636739,56.79244951955195,0.0,0.9503153913383673,17.709736747455402,0.0,False,log
Skew Normal,1,-903.6412695974286,54.05225926600576,0.1568532300385499,0.04968460866163271,17.843545131233448,0.6070072684305214,True,log
