,Parameter,Skew Model RMSE,Normal Model RMSE
0,alpha,0.0039999999999995595,0.5110000000000001
1,beta,0.08400000000000007,0.08299999999999996
2,sigma_v,0.016000000000000014,0.1120000000000001
3,sigma_u,0.254,0.239
4,lambda,0.019000000000000017,
