,Parameter,Skew Model RMSE,Normal Model RMSE
0,alpha,0.25100000000000033,0.4740000000000002
1,beta,0.07299999999999995,0.07399999999999984
2,sigma_v,0.15100000000000002,0.20300000000000007
3,sigma_u,0.051000000000000045,0.135
4,lambda,0.5169999999999999,
