,Parameter,Skew Model RMSE,Normal Model RMSE
0,alpha,0.6340000000000003,1.2890000000000001
1,beta,0.3250000000000002,0.3290000000000002
2,sigma_v,0.129,0.06499999999999995
3,sigma_u,0.18500000000000005,0.17700000000000005
4,lambda,0.16300000000000003,
