,Parameter,Skew Model RMSE,Normal Model RMSE
0,alpha,0.5330000000000004,1.62
1,beta,0.2400000000000002,0.2610000000000001
2,sigma_v,0.15300000000000002,0.29600000000000004
3,sigma_u,0.10499999999999998,0.09799999999999998
4,lambda,1.189,
