,Parameter,Skew Model RMSE,Normal Model RMSE
0,alpha,0.10099999999999998,0.7619999999999996
1,beta,0.0129999999999999,0.03499999999999992
2,sigma_v,0.09600000000000009,0.556
3,sigma_u,0.06899999999999995,0.040999999999999925
4,lambda,1.568,
