,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,4.159,0.193,3.793,4.505,305.0,415.0,1.01
beta,2.008,0.069,1.875,2.133,6670.0,12948.0,1.0
sigma_u,1.393,0.228,0.957,1.792,280.0,334.0,1.01
sigma_v,0.676,0.13,0.446,0.926,261.0,377.0,1.01
U[0],1.463,0.629,0.248,2.599,1197.0,2327.0,1.0
U[1],0.598,0.415,0.0,1.328,13830.0,8057.0,1.0
U[2],1.744,0.678,0.442,2.991,886.0,1211.0,1.0
U[3],1.375,0.619,0.174,2.469,1263.0,2114.0,1.0
U[4],0.364,0.304,0.0,0.919,16599.0,11875.0,1.0
U[5],0.79,0.483,0.0,1.609,4021.0,6104.0,1.0
U[6],1.917,0.693,0.589,3.184,859.0,1330.0,1.0
U[7],0.786,0.479,0.001,1.6,5717.0,8858.0,1.0
U[8],0.31,0.269,0.0,0.807,13000.0,11276.0,1.0
U[9],0.757,0.469,0.0,1.552,5544.0,8036.0,1.0
U[10],0.555,0.4,0.0,1.263,14385.0,9250.0,1.0
U[11],0.416,0.33,0.0,1.016,17033.0,10171.0,1.0
U[12],0.472,0.362,0.0,1.122,15882.0,9592.0,1.0
U[13],1.344,0.609,0.172,2.406,1284.0,2278.0,1.0
U[14],1.041,0.548,0.017,1.937,1978.0,4443.0,1.0
U[15],2.525,0.773,1.016,3.92,580.0,707.0,1.0
U[16],1.122,0.573,0.034,2.075,1703.0,3837.0,1.0
U[17],0.485,0.371,0.0,1.156,13289.0,8344.0,1.0
U[18],0.685,0.448,0.0,1.457,9111.0,8024.0,1.0
U[19],2.128,0.72,0.688,3.414,687.0,907.0,1.0
U[20],1.977,0.718,0.545,3.257,746.0,1256.0,1.0
U[21],1.583,0.664,0.275,2.75,943.0,1744.0,1.0
U[22],0.717,0.451,0.0,1.487,6817.0,7776.0,1.0
U[23],0.973,0.54,0.003,1.859,2446.0,4925.0,1.0
U[24],0.764,0.476,0.001,1.562,6122.0,6531.0,1.0
U[25],1.154,0.569,0.036,2.089,1715.0,3442.0,1.0
U[26],0.645,0.434,0.0,1.396,9067.0,8683.0,1.0
U[27],2.36,0.743,0.875,3.699,659.0,941.0,1.0
U[28],1.072,0.561,0.006,1.98,1841.0,4427.0,1.0
U[29],0.27,0.245,0.0,0.722,10498.0,12299.0,1.0
U[30],1.815,0.683,0.436,3.017,868.0,1452.0,1.0
U[31],1.787,0.683,0.434,3.007,864.0,1388.0,1.0
U[32],0.578,0.405,0.0,1.297,13370.0,9392.0,1.0
U[33],0.927,0.529,0.001,1.803,3435.0,6444.0,1.0
U[34],1.11,0.575,0.01,2.038,1593.0,3457.0,1.0
U[35],1.357,0.613,0.152,2.416,1217.0,2376.0,1.0
U[36],0.521,0.381,0.0,1.204,14137.0,10058.0,1.0
U[37],1.038,0.547,0.004,1.925,2185.0,4569.0,1.0
U[38],1.891,0.69,0.535,3.137,743.0,1029.0,1.0
U[39],0.376,0.309,0.0,0.937,15730.0,9952.0,1.0
U[40],0.775,0.479,0.0,1.584,6085.0,7498.0,1.0
U[41],0.473,0.363,0.0,1.124,15564.0,9468.0,1.0
U[42],0.428,0.332,0.0,1.022,16849.0,10476.0,1.0
U[43],0.423,0.329,0.0,1.011,17229.0,10786.0,1.0
U[44],1.097,0.554,0.058,2.035,1977.0,4813.0,1.0
U[45],0.454,0.351,0.0,1.086,18292.0,11216.0,1.0
U[46],1.233,0.605,0.048,2.23,1459.0,3879.0,1.0
U[47],1.608,0.659,0.342,2.819,971.0,1490.0,1.0
U[48],2.522,0.771,1.003,3.903,592.0,701.0,1.0
U[49],0.329,0.281,0.0,0.843,15129.0,10512.0,1.0
U[50],0.903,0.516,0.0,1.761,3217.0,6039.0,1.0
U[51],1.261,0.595,0.106,2.282,1473.0,2772.0,1.0
U[52],1.616,0.668,0.282,2.779,973.0,2079.0,1.0
U[53],1.386,0.621,0.178,2.469,1210.0,1502.0,1.0
U[54],0.726,0.462,0.001,1.528,5564.0,7043.0,1.0
U[55],0.353,0.297,0.0,0.889,16660.0,10282.0,1.0
U[56],0.455,0.352,0.0,1.096,17666.0,9998.0,1.0
U[57],1.406,0.63,0.132,2.47,1146.0,2252.0,1.0
U[58],0.468,0.357,0.0,1.106,16969.0,10318.0,1.0
U[59],2.933,0.818,1.376,4.429,535.0,585.0,1.0
U[60],0.26,0.24,0.0,0.7,12127.0,11330.0,1.0
U[61],1.088,0.559,0.022,2.011,1838.0,3966.0,1.0
U[62],1.51,0.64,0.246,2.639,1058.0,1975.0,1.0
U[63],0.641,0.433,0.0,1.396,13488.0,9114.0,1.0
U[64],1.343,0.616,0.146,2.405,1251.0,2679.0,1.0
U[65],0.467,0.357,0.0,1.105,14137.0,8634.0,1.0
U[66],1.08,0.553,0.001,1.967,2262.0,4167.0,1.0
U[67],0.364,0.303,0.0,0.918,16175.0,10585.0,1.0
U[68],1.112,0.564,0.033,2.04,1793.0,3560.0,1.0
U[69],0.474,0.36,0.0,1.121,14134.0,9019.0,1.0
U[70],1.218,0.59,0.055,2.198,1519.0,2845.0,1.0
U[71],2.487,0.758,1.013,3.863,622.0,697.0,1.0
U[72],1.39,0.621,0.164,2.456,1070.0,2013.0,1.0
U[73],1.144,0.578,0.013,2.079,1766.0,4024.0,1.0
U[74],0.667,0.445,0.0,1.447,8973.0,7542.0,1.0
U[75],0.865,0.508,0.0,1.715,3303.0,5980.0,1.0
U[76],0.883,0.509,0.0,1.733,3443.0,5727.0,1.0
U[77],1.067,0.56,0.014,1.991,2254.0,6084.0,1.0
U[78],3.074,0.836,1.421,4.531,498.0,528.0,1.0
U[79],1.505,0.638,0.252,2.639,1052.0,2180.0,1.0
U[80],1.7,0.675,0.389,2.919,805.0,1363.0,1.0
U[81],0.858,0.506,0.0,1.699,4366.0,7091.0,1.0
U[82],3.657,0.92,1.925,5.315,455.0,457.0,1.01
U[83],1.317,0.611,0.143,2.379,1485.0,3726.0,1.0
U[84],0.729,0.458,0.0,1.505,7380.0,8218.0,1.0
U[85],2.138,0.723,0.753,3.515,695.0,746.0,1.0
U[86],1.827,0.68,0.516,3.086,838.0,1415.0,1.0
U[87],1.33,0.609,0.129,2.365,1480.0,3249.0,1.0
U[88],3.002,0.83,1.377,4.477,516.0,596.0,1.0
U[89],0.493,0.369,0.0,1.152,16922.0,9835.0,1.0
U[90],1.622,0.657,0.308,2.772,933.0,1900.0,1.0
U[91],0.525,0.381,0.0,1.202,15784.0,9285.0,1.0
U[92],1.14,0.576,0.001,2.052,1646.0,3121.0,1.0
U[93],0.633,0.43,0.0,1.377,9462.0,9512.0,1.0
U[94],1.764,0.674,0.409,2.964,864.0,1298.0,1.0
U[95],0.617,0.423,0.0,1.35,7871.0,6368.0,1.0
U[96],1.247,0.584,0.13,2.263,1466.0,2839.0,1.0
U[97],0.335,0.289,0.0,0.87,13923.0,11251.0,1.0
