,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Normal,0,-364.38264037368435,50.36905555386204,0.0,0.9999999999999999,11.86564105522487,0.0,True,log
Skew Normal,1,-364.7991447403243,37.547721869139764,0.4165043666399555,1.1102230246251565e-16,11.574353830600753,0.6720186048101159,False,log
