,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Normal,0,-174.4479217494695,21.553211264114395,0.0,1.0,6.526550190905284,0.0,False,log
Skew Normal,1,-174.53879321263682,21.001137249482014,0.09087146316735684,0.0,6.583176959872047,0.31666076021883915,False,log
