,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Normal,0,-93.5887828671206,8.582483915735551,0.0,1.0,6.776456023980274,0.0,True,log
Skew Normal,1,-94.14006089794913,8.721461827046923,0.551278030828545,0.0,7.1075363869531145,0.4463521382438945,True,log
