,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,4.826,0.274,4.291,5.32,2400.0,6905.0,1.0
beta,2.143,0.126,1.911,2.385,11850.0,15794.0,1.0
sigma_u,0.933,0.403,0.313,1.706,967.0,2113.0,1.0
sigma_v,1.764,0.321,1.109,2.343,1533.0,1885.0,1.0
lam,-4.758,0.957,-6.581,-2.994,13503.0,11012.0,1.0
U[0],0.743,0.547,0.0,1.745,2933.0,6708.0,1.0
U[1],1.193,0.967,0.0,3.086,1588.0,3889.0,1.0
U[2],1.011,0.785,0.0,2.504,1960.0,4911.0,1.0
U[3],1.355,1.114,0.0,3.536,1401.0,3017.0,1.0
U[4],0.165,0.155,0.0,0.443,17375.0,10952.0,1.0
U[5],0.556,0.412,0.0,1.298,4561.0,6766.0,1.0
U[6],0.37,0.3,0.0,0.904,6749.0,7856.0,1.0
U[7],1.215,0.989,0.001,3.137,1573.0,3417.0,1.0
U[8],0.714,0.526,0.0,1.667,3187.0,6796.0,1.0
U[9],1.017,0.793,0.0,2.549,1868.0,4177.0,1.0
U[10],0.553,0.406,0.0,1.29,4494.0,7051.0,1.0
U[11],0.887,0.673,0.0,2.152,2049.0,5754.0,1.0
U[12],0.638,0.479,0.0,1.5,4227.0,7869.0,1.0
U[13],0.686,0.497,0.0,1.583,3204.0,7073.0,1.0
U[14],0.879,0.667,0.001,2.12,2348.0,5539.0,1.0
U[15],0.582,0.43,0.0,1.357,3661.0,6451.0,1.0
U[16],0.917,0.707,0.0,2.236,2085.0,5466.0,1.0
U[17],0.388,0.315,0.0,0.955,6480.0,7520.0,1.0
U[18],1.197,0.972,0.0,3.11,1468.0,3049.0,1.0
U[19],0.986,0.771,0.0,2.461,1844.0,4769.0,1.0
U[20],0.374,0.29,0.0,0.896,6387.0,7446.0,1.0
U[21],0.693,0.514,0.0,1.621,3563.0,7842.0,1.0
U[22],0.587,0.432,0.0,1.374,3716.0,5633.0,1.0
U[23],0.817,0.615,0.0,1.962,2494.0,7559.0,1.0
U[24],1.199,0.971,0.0,3.087,1564.0,3454.0,1.0
U[25],0.686,0.505,0.0,1.602,3319.0,7503.0,1.0
U[26],0.646,0.471,0.0,1.5,3536.0,5837.0,1.0
U[27],0.425,0.322,0.0,1.002,5871.0,7459.0,1.0
U[28],0.646,0.466,0.001,1.491,3400.0,7277.0,1.0
U[29],0.812,0.617,0.0,1.953,2461.0,5796.0,1.0
U[30],0.894,0.685,0.0,2.195,2495.0,5448.0,1.0
U[31],0.81,0.622,0.0,1.974,2456.0,6583.0,1.0
U[32],0.94,0.734,0.0,2.327,2096.0,4507.0,1.0
U[33],0.551,0.406,0.0,1.286,3848.0,5364.0,1.0
U[34],0.662,0.488,0.0,1.549,4282.0,8497.0,1.0
U[35],0.806,0.605,0.0,1.938,2662.0,5980.0,1.0
U[36],0.578,0.421,0.0,1.33,3980.0,5596.0,1.0
U[37],1.209,0.979,0.0,3.13,1610.0,3350.0,1.0
U[38],1.22,0.999,0.0,3.17,1564.0,3363.0,1.0
U[39],0.417,0.32,0.0,0.994,5834.0,6336.0,1.0
U[40],0.8,0.602,0.0,1.917,2560.0,6484.0,1.0
U[41],0.532,0.396,0.0,1.243,4525.0,7106.0,1.0
U[42],0.722,0.534,0.0,1.699,3150.0,7387.0,1.0
U[43],0.683,0.503,0.0,1.591,3551.0,6624.0,1.0
U[44],0.508,0.376,0.0,1.185,4429.0,7016.0,1.0
U[45],0.298,0.243,0.0,0.743,9597.0,7693.0,1.0
U[46],0.769,0.584,0.0,1.84,2675.0,6204.0,1.0
U[47],1.102,0.879,0.0,2.793,1610.0,3687.0,1.0
U[48],0.401,0.308,0.0,0.958,7282.0,8113.0,1.0
U[49],0.457,0.359,0.0,1.105,6020.0,8516.0,1.0
