,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,5.038,0.113,4.824,5.244,271.0,350.0,1.01
beta,1.944,0.04,1.868,2.019,8612.0,18117.0,1.0
sigma_u,0.996,0.263,0.521,1.48,142.0,267.0,1.02
sigma_v,1.332,0.189,0.974,1.656,165.0,383.0,1.02
lam,-4.83,0.902,-6.556,-3.185,3533.0,9316.0,1.0
U[0],0.983,0.618,0.0,2.044,777.0,4212.0,1.0
U[1],0.257,0.197,0.0,0.613,17632.0,10587.0,1.0
U[2],0.658,0.419,0.0,1.37,2371.0,7877.0,1.0
U[3],1.007,0.623,0.0,2.071,694.0,4115.0,1.0
U[4],1.021,0.632,0.001,2.102,733.0,3373.0,1.0
U[5],1.46,0.887,0.0,2.997,329.0,1882.0,1.01
U[6],0.485,0.321,0.0,1.035,3470.0,9802.0,1.0
U[7],0.965,0.603,0.002,1.999,780.0,4784.0,1.0
U[8],1.069,0.661,0.001,2.215,644.0,3386.0,1.0
U[9],0.8,0.501,0.002,1.647,1379.0,7495.0,1.0
U[10],0.629,0.401,0.0,1.307,2347.0,10001.0,1.0
U[11],0.603,0.386,0.0,1.257,2280.0,9438.0,1.0
U[12],1.183,0.726,0.002,2.432,535.0,2883.0,1.01
U[13],0.454,0.301,0.0,0.97,4243.0,9561.0,1.0
U[14],0.718,0.451,0.001,1.477,1177.0,6847.0,1.0
U[15],0.324,0.23,0.0,0.729,10007.0,11060.0,1.0
U[16],1.4,0.847,0.0,2.858,401.0,2044.0,1.01
U[17],0.793,0.495,0.0,1.633,1136.0,6383.0,1.0
U[18],0.212,0.169,0.0,0.517,15995.0,10277.0,1.0
U[19],0.456,0.302,0.0,0.977,5064.0,10347.0,1.0
U[20],1.045,0.647,0.0,2.143,669.0,4355.0,1.01
U[21],0.465,0.306,0.0,0.988,5265.0,10769.0,1.0
U[22],0.676,0.429,0.0,1.406,1669.0,7716.0,1.0
U[23],0.62,0.404,0.0,1.305,2206.0,6980.0,1.0
U[24],0.407,0.279,0.0,0.89,4193.0,8272.0,1.0
U[25],0.842,0.531,0.0,1.751,1061.0,6274.0,1.0
U[26],0.808,0.499,0.001,1.652,1277.0,6425.0,1.0
U[27],0.894,0.564,0.0,1.85,1061.0,5014.0,1.0
U[28],0.59,0.381,0.0,1.24,2600.0,8389.0,1.0
U[29],0.525,0.344,0.0,1.115,2628.0,9272.0,1.0
U[30],0.787,0.494,0.0,1.631,1182.0,7947.0,1.0
U[31],1.241,0.763,0.0,2.571,482.0,2122.0,1.01
U[32],0.458,0.304,0.0,0.987,4360.0,9379.0,1.0
U[33],0.426,0.289,0.0,0.921,4564.0,9803.0,1.0
U[34],0.459,0.3,0.0,0.972,4879.0,10823.0,1.0
U[35],1.114,0.687,0.002,2.301,674.0,3147.0,1.0
U[36],1.145,0.713,0.0,2.367,471.0,3239.0,1.01
U[37],1.175,0.727,0.002,2.431,533.0,2276.0,1.01
U[38],0.552,0.355,0.0,1.159,3159.0,8935.0,1.0
U[39],0.71,0.444,0.001,1.453,1556.0,7833.0,1.0
U[40],0.827,0.522,0.0,1.712,1152.0,6178.0,1.0
U[41],0.963,0.593,0.002,1.982,864.0,4421.0,1.0
U[42],0.831,0.519,0.0,1.712,1225.0,5506.0,1.0
U[43],0.988,0.617,0.0,2.052,732.0,3824.0,1.0
U[44],0.871,0.54,0.0,1.794,983.0,5510.0,1.0
U[45],0.713,0.45,0.0,1.476,1928.0,9014.0,1.0
U[46],1.364,0.817,0.0,2.78,361.0,2274.0,1.01
U[47],0.743,0.463,0.0,1.527,1646.0,8349.0,1.0
U[48],0.355,0.248,0.0,0.788,10509.0,11115.0,1.0
U[49],0.647,0.405,0.001,1.33,2112.0,10137.0,1.0
U[50],0.853,0.53,0.0,1.763,1068.0,5792.0,1.0
U[51],0.169,0.142,0.0,0.43,18792.0,12343.0,1.0
U[52],0.318,0.227,0.0,0.716,11382.0,9160.0,1.0
U[53],1.065,0.652,0.0,2.172,566.0,3526.0,1.01
U[54],1.576,0.943,0.001,3.196,323.0,1563.0,1.01
U[55],1.43,0.883,0.002,2.964,361.0,1775.0,1.01
U[56],0.661,0.419,0.0,1.37,1973.0,7970.0,1.0
U[57],0.363,0.255,0.0,0.809,8334.0,11280.0,1.0
U[58],1.528,0.91,0.009,3.096,343.0,1615.0,1.01
U[59],0.61,0.384,0.0,1.26,2123.0,8201.0,1.0
U[60],0.912,0.57,0.0,1.887,881.0,5191.0,1.01
U[61],0.225,0.175,0.0,0.546,16726.0,11118.0,1.0
U[62],0.736,0.461,0.0,1.508,1419.0,6362.0,1.0
U[63],0.121,0.11,0.0,0.323,14448.0,12471.0,1.0
U[64],1.036,0.641,0.001,2.137,579.0,3794.0,1.0
U[65],1.036,0.643,0.0,2.147,623.0,3929.0,1.0
U[66],0.754,0.48,0.0,1.569,1322.0,8329.0,1.0
U[67],0.466,0.309,0.0,0.999,4925.0,9282.0,1.0
U[68],0.942,0.583,0.0,1.945,863.0,4332.0,1.0
U[69],0.327,0.231,0.0,0.73,8258.0,9941.0,1.0
U[70],0.627,0.403,0.0,1.31,2391.0,7148.0,1.0
U[71],0.738,0.463,0.0,1.523,1476.0,8031.0,1.0
U[72],1.309,0.796,0.0,2.68,450.0,2615.0,1.01
U[73],0.667,0.422,0.001,1.383,1910.0,8106.0,1.0
U[74],0.845,0.53,0.0,1.743,1073.0,7590.0,1.0
U[75],1.396,0.855,0.002,2.871,387.0,1970.0,1.01
U[76],0.455,0.304,0.0,0.982,3874.0,9493.0,1.0
U[77],0.978,0.609,0.0,2.02,747.0,3935.0,1.0
U[78],1.014,0.628,0.001,2.098,582.0,3942.0,1.0
U[79],1.015,0.631,0.001,2.097,668.0,3905.0,1.0
U[80],0.779,0.493,0.001,1.612,1593.0,6999.0,1.0
U[81],0.791,0.497,0.0,1.64,1309.0,6794.0,1.0
U[82],0.569,0.364,0.0,1.181,2907.0,9755.0,1.0
U[83],0.236,0.183,0.0,0.568,18331.0,11855.0,1.0
U[84],1.587,0.959,0.002,3.237,292.0,1272.0,1.01
U[85],0.573,0.371,0.0,1.199,2681.0,8244.0,1.0
U[86],0.669,0.425,0.0,1.389,1870.0,6044.0,1.0
U[87],0.984,0.607,0.0,2.02,755.0,4105.0,1.01
U[88],0.694,0.431,0.0,1.418,1816.0,9537.0,1.0
U[89],0.796,0.503,0.0,1.649,1113.0,7878.0,1.0
U[90],1.381,0.841,0.0,2.834,417.0,1975.0,1.01
U[91],1.39,0.844,0.003,2.864,369.0,2066.0,1.01
U[92],0.177,0.145,0.0,0.44,20121.0,11486.0,1.0
U[93],1.59,0.951,0.002,3.24,320.0,1517.0,1.01
U[94],0.416,0.283,0.0,0.904,5458.0,9565.0,1.0
U[95],1.085,0.676,0.0,2.245,613.0,4691.0,1.0
U[96],0.526,0.343,0.0,1.112,2418.0,7250.0,1.0
U[97],1.218,0.744,0.001,2.497,515.0,2710.0,1.0
U[98],0.892,0.557,0.0,1.844,1043.0,5536.0,1.0
U[99],0.904,0.562,0.001,1.86,959.0,5296.0,1.0
U[100],0.814,0.515,0.0,1.692,1084.0,6438.0,1.0
U[101],1.169,0.726,0.0,2.411,509.0,2742.0,1.01
