,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,4.952,0.159,4.644,5.243,947.0,3369.0,1.0
beta,2.015,0.063,1.893,2.133,13766.0,15995.0,1.0
sigma_u,0.926,0.305,0.396,1.492,446.0,906.0,1.01
sigma_v,1.507,0.214,1.077,1.875,556.0,839.0,1.01
lam,-4.659,0.911,-6.381,-2.975,12898.0,12382.0,1.0
U[0],0.941,0.648,0.0,2.118,1481.0,4578.0,1.0
U[1],0.518,0.358,0.0,1.143,4778.0,8878.0,1.0
U[2],1.038,0.719,0.0,2.345,1103.0,3741.0,1.0
U[3],0.906,0.626,0.0,2.032,1516.0,4506.0,1.0
U[4],0.269,0.21,0.0,0.65,10999.0,8219.0,1.0
U[5],0.654,0.445,0.0,1.425,3187.0,8657.0,1.0
U[6],1.087,0.76,0.001,2.471,1051.0,3197.0,1.0
U[7],0.651,0.444,0.0,1.435,2720.0,6489.0,1.0
U[8],0.196,0.164,0.0,0.498,15114.0,9734.0,1.0
U[9],0.627,0.427,0.0,1.378,2975.0,6817.0,1.0
U[10],0.481,0.339,0.0,1.08,4530.0,6563.0,1.0
U[11],0.337,0.247,0.0,0.776,10263.0,9329.0,1.0
U[12],0.399,0.288,0.0,0.905,7674.0,7732.0,1.0
U[13],0.899,0.614,0.0,2.002,1696.0,4652.0,1.0
U[14],0.774,0.53,0.0,1.711,2156.0,6792.0,1.0
U[15],1.283,0.905,0.0,2.945,821.0,2326.0,1.01
U[16],0.809,0.555,0.0,1.8,1922.0,5659.0,1.0
U[17],0.42,0.3,0.0,0.952,6922.0,9826.0,1.0
U[18],0.595,0.404,0.0,1.306,3408.0,7387.0,1.0
U[19],1.148,0.815,0.0,2.646,1009.0,2708.0,1.0
U[20],1.105,0.777,0.0,2.528,1130.0,2949.0,1.0
U[21],0.98,0.678,0.0,2.204,1408.0,4021.0,1.0
U[22],0.607,0.411,0.0,1.325,3250.0,7397.0,1.0
U[23],0.749,0.51,0.0,1.662,2262.0,7529.0,1.0
U[24],0.633,0.436,0.0,1.404,3231.0,8208.0,1.0
U[25],0.824,0.561,0.0,1.828,1880.0,5323.0,1.0
U[26],0.566,0.384,0.0,1.242,4123.0,8002.0,1.0
U[27],1.237,0.858,0.001,2.794,950.0,2445.0,1.01
U[28],0.783,0.54,0.0,1.749,2175.0,6120.0,1.0
U[29],0.147,0.133,0.0,0.393,17247.0,10851.0,1.0
U[30],1.059,0.735,0.0,2.401,1110.0,3516.0,1.0
U[31],1.041,0.73,0.0,2.365,1254.0,3656.0,1.0
U[32],0.505,0.351,0.0,1.114,4151.0,8631.0,1.0
U[33],0.728,0.49,0.0,1.594,2228.0,7695.0,1.0
U[34],0.807,0.553,0.0,1.798,2204.0,6511.0,1.0
U[35],0.898,0.617,0.0,2.013,1554.0,4326.0,1.0
U[36],0.458,0.32,0.0,1.025,5196.0,6967.0,1.0
U[37],0.773,0.524,0.0,1.706,2339.0,7236.0,1.0
U[38],1.078,0.75,0.0,2.436,1089.0,2648.0,1.0
U[39],0.289,0.218,0.0,0.679,11369.0,8737.0,1.0
U[40],0.644,0.44,0.0,1.421,3457.0,9012.0,1.0
U[41],0.398,0.29,0.0,0.913,5677.0,8241.0,1.0
U[42],0.355,0.258,0.0,0.813,8430.0,10529.0,1.0
U[43],0.346,0.254,0.0,0.797,9920.0,10061.0,1.0
U[44],0.796,0.542,0.0,1.767,2241.0,6941.0,1.0
U[45],0.386,0.277,0.0,0.879,7229.0,7631.0,1.0
U[46],0.849,0.585,0.001,1.898,1890.0,6066.0,1.0
U[47],0.988,0.691,0.0,2.242,1192.0,3662.0,1.0
U[48],1.274,0.895,0.0,2.912,908.0,2506.0,1.0
