,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,5.148,0.169,4.818,5.459,2125.0,5552.0,1.0
beta,1.992,0.075,1.851,2.134,12433.0,13651.0,1.0
sigma_u,1.032,0.367,0.394,1.697,568.0,1014.0,1.0
sigma_v,1.433,0.297,0.838,1.933,603.0,732.0,1.0
lam,-5.023,0.976,-6.827,-3.139,16201.0,11179.0,1.0
U[0],0.712,0.467,0.0,1.515,2875.0,6327.0,1.0
U[1],1.112,0.735,0.001,2.399,1271.0,5486.0,1.0
U[2],1.616,1.087,0.0,3.565,859.0,2289.0,1.0
U[3],1.38,0.929,0.003,3.038,1016.0,2768.0,1.0
U[4],0.205,0.171,0.0,0.515,14270.0,10041.0,1.0
U[5],0.436,0.303,0.0,0.963,7474.0,8214.0,1.0
U[6],0.241,0.201,0.0,0.608,9856.0,7425.0,1.0
U[7],1.384,0.932,0.0,3.035,1045.0,2932.0,1.0
U[8],0.416,0.289,0.0,0.918,6887.0,7057.0,1.0
U[9],0.926,0.603,0.0,1.967,1744.0,7198.0,1.0
U[10],0.524,0.351,0.0,1.132,5051.0,8963.0,1.0
U[11],0.863,0.564,0.0,1.838,1948.0,5951.0,1.0
U[12],0.482,0.328,0.0,1.053,5422.0,7131.0,1.0
U[13],1.16,0.772,0.0,2.522,1239.0,4249.0,1.0
U[14],1.038,0.685,0.0,2.239,1372.0,5898.0,1.0
U[15],1.13,0.753,0.0,2.459,1255.0,4346.0,1.0
U[16],1.167,0.769,0.0,2.511,1264.0,4193.0,1.0
U[17],0.566,0.382,0.0,1.225,4303.0,7275.0,1.0
U[18],1.256,0.844,0.0,2.756,1093.0,3028.0,1.0
U[19],0.842,0.551,0.001,1.783,2025.0,7588.0,1.0
U[20],0.86,0.564,0.0,1.838,1831.0,6079.0,1.0
U[21],0.524,0.358,0.0,1.152,4512.0,6865.0,1.0
U[22],0.316,0.235,0.0,0.737,10244.0,7978.0,1.0
U[23],0.491,0.333,0.0,1.069,5115.0,7347.0,1.0
U[24],1.193,0.799,0.0,2.597,1162.0,3714.0,1.0
U[25],0.986,0.65,0.0,2.112,1553.0,6029.0,1.0
U[26],0.748,0.491,0.002,1.604,2397.0,6479.0,1.0
U[27],1.043,0.692,0.0,2.253,1462.0,5459.0,1.0
U[28],0.975,0.647,0.0,2.098,1672.0,5227.0,1.0
U[29],0.404,0.284,0.0,0.902,7058.0,8729.0,1.0
U[30],1.337,0.89,0.0,2.905,1023.0,3473.0,1.0
U[31],0.796,0.521,0.001,1.697,2352.0,7374.0,1.0
U[32],0.531,0.365,0.0,1.166,5145.0,7885.0,1.0
U[33],0.341,0.247,0.0,0.779,9776.0,7310.0,1.0
U[34],0.637,0.418,0.0,1.358,3618.0,6068.0,1.0
U[35],0.499,0.338,0.0,1.084,5346.0,8096.0,1.0
U[36],0.91,0.596,0.0,1.944,1791.0,6931.0,1.0
U[37],0.986,0.649,0.001,2.107,1518.0,5443.0,1.0
U[38],0.906,0.596,0.001,1.938,1823.0,6917.0,1.0
U[39],0.256,0.2,0.0,0.618,13255.0,8819.0,1.0
U[40],0.689,0.457,0.0,1.474,3049.0,7518.0,1.0
U[41],0.428,0.301,0.0,0.959,7439.0,8033.0,1.0
U[42],0.687,0.446,0.0,1.447,2874.0,7817.0,1.0
U[43],0.782,0.514,0.0,1.663,2313.0,6021.0,1.0
U[44],0.819,0.534,0.0,1.742,2269.0,7108.0,1.0
U[45],0.433,0.298,0.0,0.955,8047.0,8003.0,1.0
U[46],0.691,0.451,0.0,1.461,3039.0,7648.0,1.0
U[47],1.818,1.233,0.0,4.017,778.0,1776.0,1.0
U[48],0.931,0.611,0.0,1.992,1632.0,6573.0,1.0
U[49],0.247,0.203,0.0,0.615,11355.0,8298.0,1.0
U[50],1.267,0.85,0.0,2.774,1152.0,3255.0,1.0
U[51],0.748,0.498,0.0,1.606,2740.0,6003.0,1.0
U[52],0.943,0.63,0.0,2.033,1549.0,6237.0,1.0
