,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,4.208,0.261,3.674,4.664,373.0,615.0,1.02
beta,2.034,0.081,1.877,2.185,12290.0,16443.0,1.0
sigma_u,1.275,0.304,0.648,1.799,334.0,523.0,1.02
sigma_v,0.941,0.134,0.709,1.206,360.0,738.0,1.02
U[0],0.861,0.58,0.0,1.868,2801.0,6993.0,1.0
U[1],0.568,0.44,0.0,1.366,8860.0,8511.0,1.0
U[2],1.541,0.809,0.016,2.873,898.0,2089.0,1.01
U[3],0.991,0.639,0.0,2.102,1816.0,5928.0,1.0
U[4],0.645,0.487,0.0,1.519,6181.0,7363.0,1.0
U[5],0.731,0.523,0.0,1.662,3925.0,7507.0,1.0
U[6],1.986,0.929,0.215,3.625,619.0,1231.0,1.01
U[7],0.607,0.465,0.0,1.449,7539.0,7992.0,1.0
U[8],0.421,0.349,0.0,1.062,14895.0,9719.0,1.0
U[9],0.732,0.525,0.0,1.66,3943.0,7773.0,1.0
U[10],0.598,0.459,0.001,1.425,7122.0,9022.0,1.0
U[11],0.394,0.336,0.0,1.01,14352.0,8334.0,1.0
U[12],0.688,0.494,0.001,1.571,5490.0,8139.0,1.0
U[13],1.474,0.802,0.002,2.779,891.0,2411.0,1.01
U[14],0.806,0.554,0.0,1.776,3093.0,7768.0,1.0
U[15],1.733,0.852,0.101,3.152,734.0,1644.0,1.01
U[16],1.142,0.691,0.003,2.31,1501.0,5009.0,1.0
U[17],0.788,0.552,0.0,1.774,3327.0,6875.0,1.0
U[18],0.643,0.485,0.0,1.505,6226.0,7840.0,1.0
U[19],1.389,0.753,0.012,2.627,986.0,2511.0,1.01
U[20],1.535,0.813,0.007,2.855,846.0,1940.0,1.01
U[21],0.979,0.632,0.0,2.052,1612.0,4125.0,1.0
U[22],0.834,0.572,0.0,1.835,2758.0,5586.0,1.0
U[23],0.842,0.571,0.001,1.832,3189.0,6527.0,1.0
U[24],0.734,0.525,0.0,1.658,4529.0,7724.0,1.0
U[25],0.762,0.54,0.0,1.722,3811.0,9102.0,1.0
U[26],0.881,0.591,0.0,1.913,2491.0,6525.0,1.0
U[27],1.955,0.917,0.165,3.519,658.0,1414.0,1.01
U[28],0.941,0.615,0.0,2.001,1985.0,6417.0,1.0
U[29],0.287,0.261,0.0,0.772,13077.0,8161.0,1.0
U[30],1.23,0.711,0.001,2.419,1114.0,2915.0,1.01
U[31],1.407,0.777,0.0,2.684,937.0,2183.0,1.01
U[32],1.068,0.662,0.0,2.192,1616.0,4472.0,1.01
U[33],0.963,0.618,0.0,2.029,1899.0,5778.0,1.0
U[34],1.402,0.771,0.001,2.663,934.0,2719.0,1.01
U[35],1.336,0.751,0.003,2.568,999.0,2841.0,1.01
U[36],0.51,0.405,0.0,1.238,11104.0,8813.0,1.0
U[37],0.537,0.418,0.0,1.282,8306.0,7206.0,1.0
U[38],1.351,0.756,0.003,2.596,1041.0,3135.0,1.01
U[39],0.433,0.36,0.0,1.09,17243.0,10565.0,1.0
U[40],0.525,0.419,0.0,1.284,11396.0,8113.0,1.0
U[41],0.464,0.381,0.0,1.164,12401.0,9117.0,1.0
U[42],0.483,0.391,0.0,1.195,11718.0,7801.0,1.0
U[43],0.388,0.335,0.0,1.002,13545.0,7942.0,1.0
U[44],0.951,0.62,0.0,2.019,2236.0,5748.0,1.0
U[45],0.689,0.498,0.0,1.567,4656.0,7994.0,1.0
U[46],0.891,0.589,0.0,1.925,2347.0,6105.0,1.0
U[47],1.691,0.846,0.076,3.093,769.0,1683.0,1.01
U[48],2.04,0.934,0.17,3.573,613.0,1162.0,1.01
U[49],0.386,0.337,0.0,1.015,14571.0,10117.0,1.0
U[50],0.734,0.52,0.0,1.649,3946.0,7054.0,1.0
U[51],0.778,0.54,0.001,1.734,3279.0,6889.0,1.0
U[52],1.335,0.752,0.005,2.579,1111.0,3367.0,1.01
U[53],1.07,0.659,0.0,2.181,1445.0,4485.0,1.0
U[54],0.921,0.611,0.0,1.98,2551.0,6883.0,1.0
U[55],0.508,0.407,0.0,1.247,8610.0,7656.0,1.0
U[56],0.541,0.424,0.0,1.307,8847.0,8332.0,1.0
U[57],1.156,0.69,0.001,2.327,1322.0,4007.0,1.01
U[58],1.007,0.63,0.0,2.083,1651.0,4514.0,1.0
U[59],2.272,0.996,0.296,3.974,549.0,999.0,1.02
U[60],0.319,0.287,0.0,0.851,15862.0,10123.0,1.0
U[61],0.773,0.536,0.0,1.72,3428.0,6520.0,1.0
U[62],0.968,0.622,0.0,2.044,1813.0,4312.0,1.0
U[63],0.598,0.457,0.0,1.416,8524.0,9076.0,1.0
U[64],1.144,0.684,0.0,2.299,1397.0,3893.0,1.0
U[65],0.675,0.489,0.0,1.553,5775.0,7991.0,1.0
U[66],0.983,0.63,0.0,2.064,1908.0,5199.0,1.0
U[67],0.358,0.316,0.0,0.936,15632.0,9663.0,1.0
U[68],0.65,0.484,0.0,1.519,5567.0,6174.0,1.0
U[69],0.409,0.348,0.0,1.045,17242.0,10538.0,1.0
U[70],1.125,0.685,0.001,2.284,1431.0,4078.0,1.0
U[71],2.335,1.01,0.28,4.022,562.0,976.0,1.01
U[72],0.883,0.58,0.001,1.885,2233.0,5519.0,1.0
U[73],1.086,0.666,0.002,2.225,1591.0,4539.0,1.0
U[74],0.73,0.523,0.0,1.658,4005.0,6656.0,1.0
U[75],0.991,0.631,0.0,2.06,1991.0,5425.0,1.0
U[76],0.591,0.455,0.0,1.416,7560.0,8887.0,1.0
U[77],0.653,0.486,0.0,1.521,5034.0,6188.0,1.0
U[78],2.466,1.041,0.384,4.245,522.0,876.0,1.01
U[79],1.257,0.738,0.001,2.487,1101.0,3255.0,1.01
U[80],1.653,0.835,0.025,2.987,769.0,1778.0,1.01
U[81],0.981,0.629,0.0,2.057,1902.0,5561.0,1.0
U[82],2.686,1.091,0.553,4.62,510.0,829.0,1.01
U[83],1.159,0.693,0.0,2.313,1366.0,4094.0,1.01
U[84],0.895,0.588,0.0,1.908,2533.0,6377.0,1.0
U[85],1.445,0.784,0.026,2.747,944.0,2762.0,1.01
U[86],1.329,0.74,0.01,2.547,1083.0,2963.0,1.01
U[87],0.843,0.57,0.0,1.845,2850.0,6473.0,1.0
U[88],2.131,0.955,0.271,3.797,614.0,1097.0,1.01
U[89],0.492,0.398,0.0,1.214,12955.0,9754.0,1.0
U[90],0.875,0.593,0.001,1.92,2372.0,6144.0,1.0
U[91],0.606,0.463,0.0,1.447,8479.0,8243.0,1.0
U[92],0.991,0.637,0.0,2.098,1999.0,5919.0,1.0
U[93],0.702,0.509,0.0,1.598,4945.0,6160.0,1.0
U[94],0.985,0.633,0.0,2.077,1781.0,5185.0,1.0
U[95],0.548,0.428,0.0,1.32,8635.0,8872.0,1.0
U[96],0.839,0.575,0.0,1.84,2915.0,6719.0,1.0
U[97],0.403,0.342,0.0,1.03,17615.0,9324.0,1.0
U[98],0.43,0.359,0.0,1.088,16976.0,9713.0,1.0
U[99],0.914,0.61,0.0,1.968,2145.0,6758.0,1.0
U[100],0.888,0.596,0.0,1.919,2253.0,5994.0,1.0
U[101],0.87,0.578,0.0,1.883,2507.0,7014.0,1.0
U[102],1.169,0.701,0.001,2.343,1437.0,4731.0,1.0
U[103],0.828,0.574,0.0,1.842,2741.0,6513.0,1.0
U[104],0.982,0.626,0.001,2.049,1690.0,5164.0,1.01
U[105],1.161,0.7,0.0,2.345,1370.0,4943.0,1.0
U[106],1.692,0.839,0.092,3.111,752.0,1574.0,1.01
U[107],0.637,0.476,0.0,1.485,5493.0,7895.0,1.0
U[108],1.54,0.808,0.018,2.857,900.0,2660.0,1.01
U[109],1.003,0.641,0.001,2.094,1967.0,4912.0,1.0
U[110],1.304,0.739,0.0,2.516,1065.0,2861.0,1.01
U[111],0.522,0.418,0.0,1.275,12164.0,8211.0,1.0
U[112],2.019,0.938,0.18,3.614,593.0,1131.0,1.01
U[113],0.658,0.491,0.0,1.54,5259.0,8030.0,1.0
U[114],1.291,0.741,0.001,2.51,1072.0,2910.0,1.0
U[115],0.554,0.435,0.0,1.341,12178.0,8344.0,1.0
U[116],0.676,0.501,0.0,1.572,5656.0,7909.0,1.0
U[117],0.951,0.614,0.0,2.004,2068.0,5791.0,1.0
U[118],0.482,0.395,0.0,1.204,12430.0,8737.0,1.0
U[119],0.601,0.46,0.0,1.425,8701.0,8278.0,1.0
U[120],2.203,0.982,0.286,3.899,606.0,1139.0,1.01
U[121],1.286,0.737,0.0,2.497,1162.0,3265.0,1.01
U[122],0.907,0.601,0.0,1.966,2657.0,5434.0,1.0
U[123],0.629,0.468,0.0,1.465,6372.0,8065.0,1.0
U[124],0.613,0.459,0.0,1.438,6178.0,8417.0,1.0
U[125],0.363,0.318,0.0,0.946,17386.0,10571.0,1.0
U[126],1.111,0.669,0.0,2.244,1415.0,4478.0,1.01
U[127],1.192,0.705,0.002,2.384,1300.0,3462.0,1.01
U[128],0.61,0.464,0.0,1.44,6800.0,8760.0,1.0
U[129],0.61,0.458,0.0,1.433,6973.0,7172.0,1.0
U[130],0.622,0.468,0.0,1.46,5821.0,8860.0,1.0
U[131],3.684,1.336,0.978,5.984,435.0,622.0,1.02
U[132],0.765,0.545,0.0,1.726,3489.0,6502.0,1.0
U[133],0.481,0.389,0.0,1.191,11983.0,9620.0,1.0
U[134],1.714,0.861,0.007,3.077,721.0,1621.0,1.01
U[135],0.849,0.576,0.0,1.838,2675.0,6264.0,1.0
U[136],1.277,0.728,0.0,2.475,1227.0,4197.0,1.0
U[137],0.603,0.455,0.0,1.423,7220.0,7358.0,1.0
U[138],0.644,0.479,0.0,1.497,5272.0,8044.0,1.0
U[139],1.229,0.711,0.0,2.407,1126.0,3383.0,1.0
U[140],0.86,0.584,0.0,1.882,2181.0,5941.0,1.0
U[141],1.116,0.675,0.0,2.258,1434.0,4403.0,1.0
U[142],0.826,0.56,0.0,1.811,2673.0,6248.0,1.0
U[143],1.019,0.643,0.0,2.114,1642.0,5183.0,1.0
U[144],1.094,0.676,0.0,2.24,1400.0,4663.0,1.01
U[145],0.62,0.467,0.0,1.461,6731.0,8011.0,1.0
U[146],2.257,0.986,0.333,3.957,559.0,952.0,1.01
U[147],1.492,0.798,0.061,2.844,884.0,1960.0,1.01
U[148],0.548,0.428,0.0,1.322,11527.0,10633.0,1.0
U[149],0.92,0.602,0.0,1.961,2319.0,6791.0,1.0
U[150],0.767,0.535,0.0,1.709,3955.0,8194.0,1.0
U[151],0.42,0.354,0.0,1.064,16918.0,10241.0,1.0
U[152],1.136,0.675,0.0,2.269,1338.0,4829.0,1.0
U[153],1.25,0.723,0.003,2.461,1135.0,3565.0,1.01
U[154],2.196,0.976,0.233,3.802,566.0,1012.0,1.01
U[155],1.088,0.67,0.001,2.24,1525.0,3541.0,1.0
U[156],1.225,0.702,0.0,2.395,1241.0,2895.0,1.0
U[157],1.484,0.789,0.006,2.752,779.0,1468.0,1.01
U[158],2.031,0.933,0.22,3.611,621.0,1238.0,1.01
U[159],1.3,0.734,0.0,2.512,1076.0,2653.0,1.01
U[160],0.83,0.569,0.0,1.838,3140.0,7886.0,1.0
U[161],1.067,0.66,0.0,2.192,1594.0,6167.0,1.0
U[162],0.636,0.48,0.0,1.496,6704.0,7866.0,1.0
U[163],1.159,0.694,0.001,2.319,1339.0,4210.0,1.01
U[164],3.001,1.164,0.629,5.006,468.0,743.0,1.02
U[165],1.253,0.726,0.0,2.449,1247.0,3695.0,1.0
U[166],0.723,0.516,0.0,1.634,4400.0,7941.0,1.0
U[167],0.844,0.575,0.0,1.838,2584.0,4683.0,1.0
U[168],1.296,0.739,0.001,2.519,1072.0,1996.0,1.01
U[169],1.068,0.661,0.001,2.187,1625.0,5183.0,1.0
U[170],0.509,0.41,0.0,1.255,12096.0,8917.0,1.0
U[171],0.709,0.514,0.0,1.611,3786.0,6724.0,1.0
U[172],1.351,0.758,0.002,2.588,957.0,2426.0,1.01
U[173],0.902,0.599,0.0,1.946,2287.0,6806.0,1.0
U[174],1.52,0.793,0.051,2.84,901.0,2298.0,1.01
