,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Normal,0,-86.17692055019366,11.629630212804841,0.0,1.0,4.823712129995305,0.0,False,log
Skew Normal,1,-86.61032264309239,11.467900812499778,0.4334020928987332,0.0,5.106476169431894,0.6682285358720722,True,log
