,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Normal,0,-761.9946478629743,150.81840951803224,0.0,1.0,15.430759841713257,0.0,True,log
Skew Normal,1,-762.7751479323553,100.65839905357427,0.7805000693810182,0.0,15.550004286593762,1.0206578546463718,True,log
