,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,4.526,0.382,3.852,5.216,282.0,1109.0,1.01
beta,2.074,0.101,1.88,2.26,15763.0,17866.0,1.0
sigma_u,1.135,0.442,0.35,1.866,258.0,981.0,1.01
sigma_v,1.297,0.162,0.986,1.57,316.0,933.0,1.01
U[0],0.613,0.504,0.0,1.535,2495.0,7209.0,1.0
U[1],0.59,0.485,0.0,1.485,3002.0,9528.0,1.0
U[2],1.304,0.934,0.0,2.961,536.0,2673.0,1.0
U[3],0.766,0.61,0.0,1.87,1264.0,6297.0,1.0
U[4],0.896,0.689,0.0,2.148,946.0,4102.0,1.0
U[5],0.693,0.553,0.0,1.696,1878.0,8072.0,1.0
U[6],1.583,1.101,0.0,3.516,426.0,2054.0,1.01
U[7],0.577,0.477,0.0,1.449,3567.0,8337.0,1.0
U[8],0.544,0.452,0.0,1.365,3571.0,10679.0,1.0
U[9],0.715,0.574,0.0,1.775,1699.0,6462.0,1.0
U[10],0.663,0.538,0.0,1.662,2028.0,7204.0,1.0
U[11],0.438,0.381,0.0,1.139,6852.0,8562.0,1.0
U[12],0.837,0.657,0.0,2.047,1221.0,4741.0,1.0
U[13],1.402,0.995,0.0,3.169,496.0,2383.0,1.0
U[14],0.69,0.558,0.0,1.706,1928.0,6110.0,1.0
U[15],1.07,0.791,0.0,2.493,685.0,3051.0,1.0
U[16],1.064,0.795,0.0,2.503,719.0,3067.0,1.0
U[17],1.023,0.766,0.0,2.417,772.0,3401.0,1.0
U[18],0.65,0.533,0.0,1.635,2388.0,8348.0,1.0
U[19],0.807,0.627,0.0,1.955,1322.0,5988.0,1.0
U[20],1.093,0.811,0.0,2.539,688.0,2888.0,1.0
U[21],0.677,0.549,0.0,1.678,1894.0,7077.0,1.0
U[22],0.862,0.663,0.001,2.056,1034.0,3903.0,1.0
U[23],0.737,0.593,0.0,1.814,1448.0,5773.0,1.0
U[24],0.731,0.578,0.0,1.78,1438.0,4780.0,1.0
U[25],0.646,0.525,0.0,1.6,2013.0,8559.0,1.0
U[26],1.026,0.771,0.0,2.419,757.0,3310.0,1.0
U[27],1.381,0.981,0.0,3.12,493.0,2409.0,1.0
U[28],0.869,0.669,0.0,2.083,951.0,4117.0,1.0
U[29],0.352,0.319,0.0,0.941,15172.0,9820.0,1.0
U[30],0.868,0.674,0.0,2.1,991.0,4588.0,1.0
U[31],1.009,0.769,0.0,2.421,805.0,3254.0,1.0
U[32],1.323,0.956,0.0,3.03,527.0,2421.0,1.0
U[33],0.898,0.685,0.0,2.141,930.0,3719.0,1.0
U[34],1.36,0.974,0.0,3.097,482.0,2227.0,1.0
U[35],1.147,0.846,0.0,2.668,576.0,3181.0,1.0
U[36],0.553,0.469,0.0,1.417,3501.0,9387.0,1.0
U[37],0.428,0.372,0.0,1.115,10485.0,10262.0,1.0
U[38],0.909,0.699,0.0,2.177,893.0,4170.0,1.0
U[39],0.509,0.433,0.0,1.297,5384.0,9653.0,1.0
U[40],0.465,0.398,0.0,1.194,7035.0,9526.0,1.0
U[41],0.502,0.431,0.0,1.293,4942.0,10589.0,1.0
U[42],0.542,0.45,0.0,1.369,4010.0,9020.0,1.0
U[43],0.438,0.377,0.0,1.125,7806.0,9909.0,1.0
U[44],0.819,0.647,0.0,1.995,1348.0,5194.0,1.0
U[45],0.859,0.663,0.0,2.064,1113.0,4707.0,1.0
U[46],0.715,0.574,0.0,1.761,1770.0,6567.0,1.0
U[47],1.557,1.073,0.001,3.439,434.0,2256.0,1.0
U[48],1.392,0.988,0.002,3.15,514.0,2673.0,1.01
