,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,4.905,0.351,4.29,5.576,540.0,1366.0,1.01
beta,1.885,0.122,1.658,2.114,10727.0,14890.0,1.0
sigma_u,0.931,0.399,0.303,1.674,392.0,1079.0,1.02
sigma_v,1.235,0.162,0.917,1.536,645.0,1019.0,1.01
U[0],0.571,0.471,0.0,1.431,3031.0,8474.0,1.0
U[1],0.737,0.605,0.0,1.855,1388.0,4008.0,1.01
U[2],1.204,0.921,0.0,2.937,729.0,1783.0,1.01
U[3],1.021,0.798,0.001,2.49,920.0,2487.0,1.01
U[4],0.531,0.444,0.0,1.342,3558.0,8864.0,1.0
U[5],0.877,0.697,0.0,2.185,987.0,2984.0,1.01
U[6],0.489,0.412,0.0,1.245,5055.0,9073.0,1.0
U[7],1.343,1.02,0.001,3.236,587.0,1939.0,1.01
U[8],0.672,0.551,0.0,1.696,1998.0,4723.0,1.0
U[9],0.93,0.732,0.0,2.288,997.0,2852.0,1.01
U[10],0.46,0.392,0.0,1.178,5929.0,8500.0,1.0
U[11],0.656,0.531,0.0,1.638,1984.0,5229.0,1.0
U[12],0.469,0.402,0.0,1.198,4766.0,9471.0,1.0
U[13],1.019,0.794,0.0,2.505,970.0,2363.0,1.01
U[14],1.298,0.979,0.0,3.115,685.0,2043.0,1.01
U[15],0.826,0.658,0.0,2.038,1089.0,3415.0,1.01
U[16],0.949,0.764,0.0,2.364,943.0,2450.0,1.01
U[17],0.757,0.62,0.0,1.912,1041.0,3235.0,1.01
U[18],1.016,0.801,0.0,2.508,1000.0,2327.0,1.01
U[19],0.723,0.584,0.0,1.789,1579.0,4129.0,1.0
U[20],0.535,0.455,0.0,1.368,3870.0,7771.0,1.0
U[21],0.428,0.367,0.0,1.098,7140.0,10879.0,1.0
U[22],0.525,0.433,0.0,1.318,3510.0,8311.0,1.0
U[23],0.432,0.371,0.0,1.108,5008.0,7306.0,1.0
U[24],0.844,0.674,0.0,2.093,1206.0,3519.0,1.01
U[25],0.655,0.533,0.0,1.641,1883.0,5725.0,1.0
U[26],0.43,0.369,0.0,1.106,8161.0,8962.0,1.0
U[27],0.724,0.587,0.0,1.806,1517.0,4360.0,1.0
U[28],0.714,0.581,0.0,1.79,1701.0,3954.0,1.0
U[29],0.56,0.467,0.0,1.419,3649.0,8205.0,1.0
U[30],0.894,0.711,0.0,2.202,914.0,2747.0,1.01
U[31],0.473,0.398,0.0,1.192,6481.0,9415.0,1.0
U[32],0.602,0.498,0.0,1.519,2764.0,7454.0,1.0
U[33],0.617,0.51,0.0,1.554,2471.0,8008.0,1.0
U[34],0.703,0.58,0.0,1.771,1533.0,4287.0,1.0
U[35],0.581,0.483,0.0,1.467,2677.0,6982.0,1.0
U[36],0.71,0.576,0.0,1.777,1054.0,4408.0,1.01
U[37],1.074,0.844,0.0,2.664,799.0,2097.0,1.01
U[38],0.569,0.471,0.0,1.424,2883.0,6614.0,1.0
U[39],0.375,0.329,0.0,0.974,9395.0,7751.0,1.0
U[40],0.873,0.689,0.0,2.139,1000.0,3221.0,1.01
U[41],0.727,0.578,0.0,1.789,1464.0,4287.0,1.0
U[42],0.574,0.473,0.0,1.436,2781.0,7427.0,1.0
U[43],0.609,0.5,0.0,1.527,2616.0,6766.0,1.0
U[44],1.302,0.986,0.0,3.124,650.0,1839.0,1.01
U[45],0.623,0.519,0.0,1.581,2217.0,6026.0,1.0
U[46],0.653,0.54,0.0,1.645,2038.0,4746.0,1.0
U[47],1.248,0.951,0.0,3.02,749.0,1841.0,1.01
U[48],0.507,0.428,0.0,1.287,3778.0,7229.0,1.0
U[49],0.34,0.307,0.0,0.903,13872.0,9758.0,1.0
U[50],0.94,0.735,0.001,2.301,976.0,3000.0,1.01
U[51],0.747,0.6,0.0,1.84,1562.0,3730.0,1.0
U[52],0.618,0.514,0.0,1.559,2500.0,5932.0,1.0
U[53],0.891,0.7,0.0,2.187,1085.0,2951.0,1.01
U[54],1.237,0.948,0.0,3.015,630.0,2052.0,1.01
U[55],0.491,0.413,0.0,1.247,4924.0,9457.0,1.0
U[56],0.958,0.76,0.0,2.38,942.0,2490.0,1.01
U[57],0.333,0.297,0.0,0.881,15158.0,10330.0,1.0
U[58],1.421,1.085,0.001,3.417,608.0,1527.0,1.01
U[59],1.343,1.035,0.0,3.27,664.0,1678.0,1.01
U[60],0.484,0.41,0.0,1.222,4663.0,6788.0,1.0
U[61],0.728,0.593,0.0,1.814,1565.0,3878.0,1.0
U[62],0.493,0.419,0.0,1.26,4601.0,9301.0,1.0
U[63],0.95,0.751,0.001,2.34,1054.0,2842.0,1.01
U[64],1.062,0.832,0.001,2.618,751.0,2220.0,1.01
U[65],0.725,0.594,0.0,1.808,1698.0,4320.0,1.01
U[66],0.487,0.419,0.0,1.243,5223.0,8056.0,1.0
U[67],1.08,0.838,0.0,2.644,746.0,2191.0,1.01
U[68],0.609,0.496,0.0,1.533,2478.0,6559.0,1.0
U[69],0.577,0.48,0.0,1.458,2441.0,5443.0,1.0
U[70],0.406,0.356,0.0,1.054,7804.0,7137.0,1.0
U[71],0.572,0.481,0.0,1.455,2724.0,5355.0,1.0
U[72],0.548,0.454,0.0,1.378,3579.0,8319.0,1.0
U[73],0.666,0.542,0.0,1.667,2083.0,5314.0,1.0
U[74],0.53,0.443,0.0,1.347,3707.0,8922.0,1.0
U[75],1.122,0.87,0.0,2.737,717.0,1871.0,1.01
U[76],0.878,0.702,0.0,2.188,926.0,2615.0,1.01
U[77],0.946,0.735,0.0,2.302,786.0,2674.0,1.01
U[78],0.821,0.656,0.0,2.036,1224.0,3466.0,1.01
U[79],0.456,0.383,0.0,1.161,5811.0,8427.0,1.0
U[80],0.891,0.712,0.0,2.215,997.0,2710.0,1.01
U[81],0.699,0.565,0.0,1.769,1782.0,5009.0,1.0
U[82],0.617,0.51,0.0,1.557,2342.0,5309.0,1.0
U[83],0.467,0.408,0.0,1.215,4893.0,9166.0,1.0
U[84],0.593,0.486,0.0,1.483,2487.0,6907.0,1.0
U[85],1.269,0.968,0.0,3.083,695.0,2052.0,1.01
U[86],0.648,0.529,0.0,1.603,2097.0,5643.0,1.0
U[87],0.696,0.561,0.0,1.726,1843.0,5750.0,1.0
U[88],0.787,0.64,0.0,1.983,1351.0,2627.0,1.0
U[89],0.808,0.652,0.0,2.006,1169.0,3230.0,1.01
U[90],0.919,0.731,0.0,2.279,990.0,2865.0,1.01
U[91],0.436,0.38,0.0,1.121,7254.0,9002.0,1.0
U[92],0.695,0.566,0.0,1.749,1684.0,5168.0,1.0
U[93],0.585,0.486,0.0,1.489,2442.0,6936.0,1.0
U[94],0.438,0.377,0.0,1.12,6614.0,8573.0,1.0
U[95],1.536,1.152,0.0,3.673,526.0,1726.0,1.01
U[96],0.926,0.728,0.0,2.278,941.0,2774.0,1.01
U[97],0.573,0.466,0.0,1.43,3560.0,8854.0,1.0
U[98],0.636,0.523,0.0,1.591,2092.0,5629.0,1.0
U[99],0.612,0.504,0.0,1.529,2446.0,6793.0,1.0
