,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,5.251,0.433,4.413,6.039,2368.0,4975.0,1.0
beta,2.073,0.1,1.882,2.258,20219.0,16888.0,1.0
sigma_u,0.949,0.386,0.351,1.683,401.0,939.0,1.01
sigma_v,1.651,0.267,1.149,2.123,824.0,1326.0,1.01
lam,-1.017,0.549,-1.877,-0.0,4850.0,8651.0,1.0
U[0],0.55,0.459,0.0,1.394,3105.0,8335.0,1.0
U[1],0.524,0.436,0.0,1.324,3824.0,9505.0,1.0
U[2],1.025,0.813,0.0,2.522,925.0,2663.0,1.0
U[3],0.67,0.546,0.0,1.664,2266.0,4679.0,1.0
U[4],0.768,0.619,0.0,1.916,1625.0,4004.0,1.0
U[5],0.611,0.494,0.0,1.512,2847.0,9082.0,1.0
U[6],1.213,0.938,0.0,2.95,728.0,1980.0,1.01
U[7],0.51,0.429,0.0,1.291,4367.0,7591.0,1.0
U[8],0.493,0.42,0.0,1.26,4975.0,9525.0,1.0
U[9],0.627,0.514,0.0,1.57,2577.0,6504.0,1.0
U[10],0.588,0.488,0.0,1.492,2907.0,7311.0,1.0
U[11],0.394,0.342,0.0,1.011,8654.0,10014.0,1.0
U[12],0.728,0.583,0.0,1.805,1641.0,4310.0,1.0
U[13],1.106,0.861,0.001,2.695,889.0,2527.0,1.0
U[14],0.617,0.509,0.0,1.554,2455.0,6349.0,1.0
U[15],0.882,0.7,0.0,2.163,1150.0,3201.0,1.0
U[16],0.887,0.706,0.0,2.177,1167.0,3278.0,1.0
U[17],0.847,0.686,0.0,2.121,1205.0,3136.0,1.0
U[18],0.579,0.478,0.0,1.453,3063.0,7868.0,1.0
U[19],0.699,0.569,0.0,1.761,2040.0,5120.0,1.0
U[20],0.905,0.715,0.0,2.246,1235.0,3192.0,1.0
U[21],0.602,0.501,0.0,1.53,3278.0,7358.0,1.0
U[22],0.743,0.608,0.0,1.87,1843.0,3942.0,1.0
U[23],0.644,0.529,0.0,1.613,2445.0,6025.0,1.0
U[24],0.649,0.53,0.0,1.626,2227.0,5853.0,1.0
U[25],0.568,0.472,0.0,1.425,3552.0,7850.0,1.0
U[26],0.855,0.684,0.0,2.114,1305.0,3722.0,1.0
U[27],1.079,0.855,0.0,2.683,946.0,2259.0,1.01
U[28],0.745,0.602,0.0,1.842,1613.0,3958.0,1.0
U[29],0.313,0.284,0.0,0.829,12974.0,9108.0,1.0
U[30],0.74,0.601,0.0,1.851,1752.0,4161.0,1.0
U[31],0.854,0.679,0.0,2.106,1375.0,3469.0,1.0
U[32],1.049,0.823,0.0,2.571,878.0,2533.0,1.01
U[33],0.765,0.619,0.0,1.889,1520.0,4205.0,1.0
U[34],1.074,0.843,0.0,2.644,874.0,2451.0,1.01
U[35],0.932,0.74,0.0,2.31,1159.0,2894.0,1.0
U[36],0.503,0.424,0.0,1.283,4765.0,8157.0,1.0
U[37],0.38,0.334,0.0,0.987,7007.0,8099.0,1.0
U[38],0.77,0.622,0.0,1.92,1450.0,3525.0,1.0
U[39],0.459,0.393,0.0,1.182,5305.0,8587.0,1.0
U[40],0.421,0.366,0.0,1.087,8380.0,9812.0,1.0
U[41],0.456,0.392,0.0,1.175,5861.0,8304.0,1.0
U[42],0.49,0.414,0.0,1.248,5007.0,10129.0,1.0
U[43],0.394,0.342,0.0,1.012,9315.0,9247.0,1.0
U[44],0.712,0.573,0.0,1.767,1977.0,4762.0,1.0
U[45],0.746,0.588,0.0,1.824,1734.0,4281.0,1.0
U[46],0.626,0.518,0.0,1.58,2570.0,5926.0,1.0
U[47],1.197,0.931,0.0,2.938,752.0,1787.0,1.01
U[48],1.104,0.854,0.0,2.684,854.0,2433.0,1.01
U[49],0.433,0.379,0.0,1.127,7388.0,9484.0,1.0
U[50],0.625,0.514,0.0,1.571,2866.0,6694.0,1.0
U[51],0.537,0.441,0.0,1.344,3699.0,7590.0,1.0
U[52],0.854,0.678,0.0,2.111,1356.0,3598.0,1.0
U[53],0.759,0.611,0.0,1.889,1658.0,4576.0,1.0
U[54],0.848,0.68,0.0,2.098,1334.0,3275.0,1.0
U[55],0.586,0.486,0.0,1.46,3164.0,8518.0,1.0
U[56],0.561,0.468,0.0,1.416,3585.0,8795.0,1.0
U[57],0.76,0.617,0.0,1.887,1735.0,4101.0,1.0
U[58],1.079,0.841,0.001,2.633,901.0,2248.0,1.0
U[59],1.211,0.94,0.0,2.958,771.0,2101.0,1.01
U[60],0.364,0.327,0.0,0.958,10785.0,8343.0,1.0
U[61],0.551,0.461,0.0,1.39,3832.0,8312.0,1.0
U[62],0.595,0.492,0.0,1.499,3152.0,6401.0,1.0
U[63],0.541,0.45,0.0,1.378,3971.0,8572.0,1.0
U[64],0.802,0.637,0.0,1.975,1566.0,3732.0,1.0
U[65],0.721,0.59,0.0,1.814,2048.0,4374.0,1.0
U[66],0.754,0.61,0.0,1.878,1687.0,4577.0,1.0
U[67],0.365,0.322,0.0,0.952,11155.0,10854.0,1.0
U[68],0.479,0.406,0.0,1.225,5385.0,9057.0,1.0
U[69],0.384,0.338,0.0,1.005,11450.0,10732.0,1.0
U[70],0.85,0.671,0.0,2.1,1272.0,3252.0,1.0
U[71],1.336,1.029,0.0,3.255,688.0,1719.0,1.01
U[72],0.605,0.497,0.0,1.515,2886.0,6754.0,1.0
U[73],0.802,0.644,0.0,1.991,1443.0,3600.0,1.0
U[74],0.694,0.564,0.0,1.728,1886.0,4510.0,1.0
U[75],0.845,0.677,0.0,2.1,1389.0,3268.0,1.0
U[76],0.477,0.402,0.0,1.21,5883.0,9966.0,1.0
U[77],0.502,0.429,0.0,1.285,4809.0,8631.0,1.0
U[78],1.195,0.931,0.0,2.917,776.0,2073.0,1.01
U[79],0.834,0.663,0.0,2.067,1319.0,3731.0,1.0
U[80],1.098,0.86,0.001,2.694,816.0,2343.0,1.01
U[81],0.858,0.679,0.0,2.103,1272.0,3291.0,1.0
U[82],1.174,0.92,0.0,2.896,819.0,2108.0,1.01
U[83],0.808,0.639,0.0,1.983,1331.0,4292.0,1.0
U[84],0.795,0.638,0.0,1.965,1495.0,3445.0,1.0
U[85],0.77,0.613,0.0,1.898,1712.0,4292.0,1.0
U[86],0.814,0.651,0.0,2.019,1497.0,3788.0,1.0
U[87],0.584,0.481,0.0,1.463,3013.0,8461.0,1.0
U[88],0.996,0.777,0.0,2.444,964.0,2667.0,1.01
U[89],0.479,0.41,0.0,1.23,5523.0,8682.0,1.0
U[90],0.541,0.451,0.0,1.361,4093.0,9197.0,1.0
U[91],0.611,0.498,0.0,1.524,2902.0,6642.0,1.0
U[92],0.753,0.612,0.0,1.885,1864.0,3810.0,1.0
U[93],0.678,0.55,0.0,1.69,2263.0,5808.0,1.0
U[94],0.609,0.5,0.0,1.531,2450.0,7040.0,1.0
U[95],0.495,0.417,0.0,1.259,5487.0,8609.0,1.0
U[96],0.625,0.517,0.0,1.579,2518.0,6053.0,1.0
U[97],0.447,0.38,0.0,1.14,6430.0,9616.0,1.0
U[98],0.454,0.394,0.0,1.185,6356.0,8308.0,1.0
U[99],0.878,0.699,0.0,2.182,1275.0,2990.0,1.0
U[100],0.718,0.582,0.0,1.804,1918.0,5294.0,1.0
U[101],0.856,0.68,0.0,2.116,1385.0,3545.0,1.0
U[102],1.063,0.831,0.0,2.598,874.0,2189.0,1.01
U[103],0.666,0.542,0.0,1.648,2324.0,5484.0,1.0
U[104],0.724,0.587,0.0,1.807,1994.0,4209.0,1.0
U[105],0.706,0.567,0.0,1.748,1826.0,4979.0,1.0
U[106],1.173,0.909,0.0,2.864,810.0,2138.0,1.01
U[107],0.571,0.474,0.0,1.434,2708.0,6794.0,1.0
U[108],0.933,0.738,0.0,2.297,1022.0,2954.0,1.01
U[109],1.002,0.785,0.0,2.453,974.0,2412.0,1.0
U[110],1.035,0.813,0.0,2.524,954.0,2305.0,1.0
U[111],0.548,0.454,0.0,1.384,4012.0,7845.0,1.0
U[112],1.061,0.837,0.0,2.619,909.0,2345.0,1.0
U[113],0.628,0.517,0.0,1.576,2696.0,5722.0,1.0
U[114],0.837,0.663,0.0,2.053,1219.0,3442.0,1.0
U[115],0.548,0.457,0.0,1.393,3241.0,7834.0,1.0
U[116],0.728,0.586,0.0,1.801,1742.0,5548.0,1.0
U[117],0.815,0.654,0.0,2.032,1386.0,3755.0,1.0
U[118],0.529,0.438,0.0,1.323,4332.0,9578.0,1.0
U[119],0.597,0.501,0.0,1.513,2862.0,6293.0,1.0
U[120],1.131,0.89,0.0,2.786,817.0,2153.0,1.01
U[121],0.907,0.721,0.0,2.246,1147.0,3085.0,1.0
U[122],0.808,0.653,0.0,2.008,1332.0,3768.0,1.0
U[123],0.548,0.455,0.0,1.368,3533.0,8232.0,1.0
U[124],0.587,0.487,0.0,1.484,3020.0,7805.0,1.0
U[125],0.359,0.315,0.0,0.933,9995.0,10182.0,1.0
U[126],0.792,0.635,0.0,1.948,1499.0,3988.0,1.0
U[127],0.88,0.691,0.0,2.159,1244.0,3338.0,1.0
U[128],0.573,0.47,0.0,1.435,2815.0,6487.0,1.0
U[129],0.56,0.471,0.0,1.421,2943.0,7019.0,1.0
U[130],0.628,0.515,0.0,1.565,2855.0,7110.0,1.0
U[131],2.13,1.61,0.001,5.167,518.0,1275.0,1.01
U[132],0.718,0.582,0.0,1.801,1868.0,4051.0,1.0
U[133],0.551,0.464,0.0,1.395,3751.0,6868.0,1.0
U[134],1.287,0.996,0.0,3.15,683.0,2022.0,1.01
U[135],0.532,0.447,0.0,1.352,4018.0,9117.0,1.0
U[136],0.831,0.665,0.0,2.053,1391.0,3394.0,1.0
U[137],0.643,0.527,0.0,1.626,1960.0,6223.0,1.0
U[138],0.632,0.518,0.0,1.588,2666.0,7520.0,1.0
U[139],0.87,0.692,0.0,2.146,1155.0,3688.0,1.0
U[140],0.643,0.53,0.0,1.624,2275.0,5112.0,1.0
U[141],0.735,0.593,0.0,1.822,1404.0,4857.0,1.0
U[142],0.717,0.581,0.0,1.784,2222.0,4929.0,1.0
U[143],0.742,0.6,0.0,1.836,1794.0,4311.0,1.0
U[144],0.838,0.67,0.0,2.066,1468.0,3166.0,1.0
U[145],0.455,0.387,0.0,1.157,6832.0,9875.0,1.0
U[146],1.074,0.846,0.0,2.658,878.0,2112.0,1.01
U[147],0.952,0.759,0.0,2.357,1000.0,2676.0,1.0
U[148],0.544,0.458,0.0,1.367,3111.0,8592.0,1.0
U[149],0.617,0.508,0.0,1.54,2487.0,6393.0,1.0
U[150],0.835,0.659,0.0,2.047,1440.0,3195.0,1.0
U[151],0.475,0.409,0.0,1.22,6144.0,6892.0,1.0
U[152],1.033,0.816,0.0,2.563,947.0,2590.0,1.01
U[153],0.681,0.556,0.0,1.689,2056.0,5246.0,1.0
U[154],1.369,1.061,0.0,3.354,679.0,1773.0,1.01
U[155],0.917,0.728,0.0,2.269,1077.0,2736.0,1.0
U[156],0.828,0.661,0.0,2.041,1487.0,3397.0,1.0
U[157],1.135,0.877,0.0,2.757,787.0,2482.0,1.01
U[158],1.207,0.945,0.001,2.97,757.0,2078.0,1.01
U[159],1.068,0.828,0.0,2.61,894.0,2255.0,1.01
U[160],0.872,0.698,0.0,2.15,1327.0,3610.0,1.0
U[161],0.994,0.778,0.0,2.443,957.0,2613.0,1.0
U[162],0.453,0.391,0.0,1.168,5066.0,8668.0,1.0
U[163],1.124,0.874,0.0,2.742,876.0,2118.0,1.01
U[164],1.735,1.33,0.0,4.209,573.0,1517.0,1.01
U[165],0.897,0.716,0.0,2.229,1106.0,3036.0,1.01
