,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,5.57,0.463,4.662,6.375,1963.0,5265.0,1.0
beta,1.906,0.122,1.676,2.136,11191.0,15358.0,1.0
sigma_u,0.913,0.397,0.313,1.672,628.0,1082.0,1.01
sigma_v,1.466,0.264,0.983,1.978,1390.0,1110.0,1.0
lam,-0.89,0.593,-1.908,-0.0,9070.0,10262.0,1.0
U[0],0.564,0.461,0.0,1.399,3852.0,7985.0,1.0
U[1],0.74,0.6,0.0,1.842,2025.0,3415.0,1.0
U[2],1.167,0.921,0.0,2.92,1002.0,1821.0,1.0
U[3],0.989,0.785,0.0,2.465,1242.0,2200.0,1.01
U[4],0.519,0.428,0.0,1.299,5053.0,7864.0,1.0
U[5],0.866,0.705,0.0,2.198,1520.0,2396.0,1.0
U[6],0.468,0.398,0.0,1.192,7601.0,8628.0,1.0
U[7],1.273,0.998,0.0,3.167,1009.0,1634.0,1.01
U[8],0.674,0.551,0.0,1.694,2481.0,4909.0,1.0
U[9],0.917,0.737,0.0,2.307,1371.0,2670.0,1.0
U[10],0.441,0.375,0.0,1.12,8004.0,9396.0,1.0
U[11],0.657,0.522,0.0,1.618,2223.0,5076.0,1.0
U[12],0.471,0.396,0.0,1.196,6255.0,9221.0,1.0
U[13],1.0,0.788,0.001,2.483,1185.0,2489.0,1.01
U[14],1.234,0.966,0.0,3.061,1001.0,1811.0,1.01
U[15],0.814,0.649,0.0,2.014,1569.0,3003.0,1.0
U[16],0.931,0.764,0.0,2.362,1256.0,1876.0,1.01
U[17],0.764,0.629,0.0,1.935,1742.0,3038.0,1.0
U[18],0.99,0.798,0.0,2.487,1266.0,2012.0,1.01
U[19],0.722,0.579,0.0,1.787,2017.0,4581.0,1.0
U[20],0.536,0.44,0.0,1.343,4082.0,8657.0,1.0
U[21],0.416,0.358,0.0,1.071,8656.0,9678.0,1.0
U[22],0.521,0.429,0.0,1.305,4302.0,8642.0,1.0
U[23],0.419,0.357,0.0,1.067,8186.0,8658.0,1.0
U[24],0.826,0.67,0.0,2.069,1593.0,3496.0,1.0
U[25],0.647,0.534,0.0,1.628,3073.0,5379.0,1.0
U[26],0.416,0.354,0.0,1.063,9300.0,8222.0,1.0
U[27],0.719,0.575,0.0,1.783,2128.0,5024.0,1.0
U[28],0.714,0.573,0.0,1.781,2070.0,3886.0,1.0
U[29],0.549,0.459,0.0,1.393,4077.0,7529.0,1.0
U[30],0.895,0.709,0.0,2.204,1267.0,2558.0,1.01
U[31],0.451,0.382,0.0,1.153,6460.0,9064.0,1.0
U[32],0.591,0.481,0.0,1.465,3358.0,7163.0,1.0
U[33],0.619,0.506,0.0,1.554,2997.0,7148.0,1.0
U[34],0.707,0.574,0.0,1.767,2297.0,4067.0,1.0
U[35],0.576,0.469,0.0,1.433,3908.0,8389.0,1.0
U[36],0.717,0.579,0.0,1.782,2033.0,4386.0,1.0
U[37],1.053,0.841,0.0,2.643,973.0,2139.0,1.01
U[38],0.564,0.463,0.0,1.42,3622.0,7314.0,1.0
U[39],0.355,0.312,0.0,0.919,11882.0,9455.0,1.0
U[40],0.863,0.68,0.0,2.14,1636.0,2679.0,1.01
U[41],0.713,0.573,0.0,1.765,2389.0,4986.0,1.0
U[42],0.566,0.465,0.0,1.42,3877.0,7253.0,1.0
U[43],0.608,0.499,0.0,1.536,3160.0,6935.0,1.0
U[44],1.24,0.975,0.001,3.095,1004.0,1632.0,1.01
U[45],0.617,0.506,0.0,1.539,3044.0,6583.0,1.0
U[46],0.661,0.545,0.0,1.673,2338.0,4005.0,1.0
U[47],1.192,0.947,0.0,2.976,1019.0,1697.0,1.01
U[48],0.505,0.424,0.0,1.279,4901.0,9082.0,1.0
U[49],0.321,0.294,0.0,0.849,12623.0,8305.0,1.0
U[50],0.922,0.735,0.0,2.291,1368.0,2665.0,1.0
U[51],0.733,0.6,0.0,1.846,2129.0,4227.0,1.0
U[52],0.622,0.513,0.0,1.566,2403.0,4709.0,1.0
U[53],0.87,0.695,0.0,2.163,1477.0,2887.0,1.0
U[54],1.182,0.936,0.0,2.956,1034.0,1647.0,1.01
U[55],0.486,0.407,0.0,1.23,5065.0,7523.0,1.0
U[56],0.945,0.756,0.0,2.378,1333.0,2452.0,1.0
U[57],0.311,0.279,0.0,0.818,13286.0,9419.0,1.0
U[58],1.362,1.07,0.0,3.399,906.0,1626.0,1.01
U[59],1.281,1.021,0.0,3.212,919.0,1481.0,1.0
U[60],0.48,0.396,0.0,1.197,5127.0,8923.0,1.0
U[61],0.726,0.594,0.0,1.829,1963.0,3598.0,1.0
U[62],0.489,0.404,0.0,1.22,5537.0,8140.0,1.0
U[63],0.93,0.731,0.0,2.301,1364.0,2861.0,1.0
U[64],1.036,0.835,0.0,2.606,1061.0,1833.0,1.01
U[65],0.733,0.598,0.0,1.836,1920.0,3743.0,1.0
U[66],0.484,0.407,0.0,1.222,5616.0,7399.0,1.0
U[67],1.042,0.83,0.0,2.626,1176.0,2217.0,1.0
U[68],0.599,0.494,0.0,1.504,3641.0,7335.0,1.0
U[69],0.574,0.473,0.0,1.45,3584.0,7343.0,1.0
U[70],0.392,0.341,0.0,1.008,9177.0,7328.0,1.0
U[71],0.573,0.47,0.0,1.429,3634.0,7685.0,1.0
U[72],0.546,0.454,0.0,1.374,4219.0,7466.0,1.0
U[73],0.659,0.528,0.0,1.632,2674.0,5557.0,1.0
U[74],0.513,0.428,0.0,1.285,5103.0,9782.0,1.0
U[75],1.093,0.872,0.0,2.731,1134.0,1763.0,1.01
U[76],0.876,0.695,0.0,2.19,1514.0,2909.0,1.0
U[77],0.919,0.734,0.0,2.286,1358.0,2484.0,1.0
U[78],0.804,0.653,0.0,2.019,1561.0,3669.0,1.0
U[79],0.438,0.374,0.0,1.119,7986.0,9459.0,1.0
U[80],0.884,0.717,0.0,2.225,1403.0,2400.0,1.0
U[81],0.691,0.56,0.0,1.724,2186.0,5350.0,1.0
U[82],0.622,0.513,0.0,1.566,2465.0,4631.0,1.0
U[83],0.464,0.388,0.0,1.175,6426.0,9024.0,1.0
U[84],0.587,0.487,0.0,1.483,3618.0,7514.0,1.0
U[85],1.197,0.951,0.0,3.019,905.0,1953.0,1.01
U[86],0.646,0.524,0.0,1.62,2717.0,5181.0,1.0
U[87],0.684,0.558,0.0,1.709,2434.0,4965.0,1.0
U[88],0.781,0.648,0.0,1.99,1627.0,3165.0,1.0
U[89],0.809,0.643,0.0,2.011,1637.0,3262.0,1.0
U[90],0.909,0.737,0.0,2.307,1410.0,2203.0,1.0
U[91],0.417,0.357,0.0,1.062,8076.0,7197.0,1.0
U[92],0.691,0.571,0.0,1.74,2180.0,4483.0,1.0
U[93],0.588,0.49,0.0,1.483,3344.0,6544.0,1.0
U[94],0.428,0.37,0.0,1.103,7991.0,9186.0,1.0
U[95],1.444,1.136,0.0,3.574,891.0,1539.0,1.01
U[96],0.913,0.719,0.0,2.246,1352.0,2671.0,1.0
U[97],0.56,0.463,0.0,1.4,3780.0,7449.0,1.0
U[98],0.638,0.523,0.0,1.619,2609.0,5668.0,1.0
U[99],0.612,0.496,0.0,1.519,3276.0,7543.0,1.0
