,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
U[396],0.612,0.498,0.0,1.518,2904.0,6588.0,1.0
U[397],0.413,0.353,0.0,1.049,6248.0,11006.0,1.0
U[398],0.489,0.399,0.0,1.213,4337.0,7918.0,1.0
U[399],0.416,0.354,0.0,1.071,5966.0,11060.0,1.0
U[400],0.543,0.446,0.0,1.352,3771.0,7051.0,1.0
U[401],0.515,0.429,0.0,1.294,3916.0,9109.0,1.0
U[402],0.742,0.584,0.001,1.814,1806.0,4349.0,1.0
U[403],0.389,0.337,0.0,1.003,9208.0,12341.0,1.0
U[404],0.404,0.344,0.0,1.022,6930.0,12220.0,1.0
U[405],0.486,0.411,0.0,1.243,4987.0,8904.0,1.0
U[406],0.607,0.497,0.0,1.518,2568.0,6423.0,1.0
U[407],0.549,0.45,0.0,1.359,3011.0,8198.0,1.0
U[408],0.524,0.437,0.0,1.315,3584.0,6903.0,1.0
U[409],0.491,0.404,0.0,1.226,4085.0,9851.0,1.0
U[410],0.45,0.381,0.0,1.15,5868.0,10181.0,1.0
U[411],0.657,0.524,0.0,1.597,2283.0,5126.0,1.0
U[412],0.478,0.401,0.0,1.209,4841.0,8737.0,1.0
U[413],0.52,0.434,0.0,1.3,4063.0,7476.0,1.0
U[414],0.445,0.373,0.0,1.129,5205.0,9629.0,1.0
U[415],0.353,0.307,0.0,0.908,8780.0,10768.0,1.0
U[416],0.586,0.481,0.0,1.458,3454.0,7350.0,1.0
U[417],1.04,0.78,0.0,2.446,1176.0,3257.0,1.01
U[418],1.071,0.805,0.0,2.541,1095.0,3087.0,1.0
U[419],0.498,0.415,0.0,1.253,4590.0,7711.0,1.0
U[420],0.482,0.402,0.0,1.212,4875.0,8751.0,1.0
U[421],0.73,0.579,0.0,1.777,1835.0,4612.0,1.0
U[422],0.632,0.502,0.0,1.55,2323.0,5986.0,1.0
U[423],0.821,0.639,0.0,1.982,1558.0,3894.0,1.0
U[424],0.394,0.341,0.0,1.021,6581.0,10865.0,1.0
U[425],0.584,0.476,0.0,1.442,3111.0,5834.0,1.0
U[426],0.703,0.552,0.0,1.695,2136.0,4469.0,1.0
U[427],0.399,0.34,0.0,1.023,6927.0,11634.0,1.0
U[428],0.937,0.718,0.0,2.238,1326.0,3223.0,1.0
U[429],0.543,0.445,0.0,1.35,3545.0,8568.0,1.0
U[430],0.483,0.403,0.0,1.216,4578.0,8882.0,1.0
U[431],0.776,0.612,0.0,1.895,1703.0,5038.0,1.0
U[432],0.453,0.388,0.0,1.16,5135.0,8026.0,1.0
U[433],0.66,0.524,0.0,1.619,2401.0,5442.0,1.0
U[434],0.757,0.597,0.0,1.837,1927.0,4432.0,1.0
U[435],0.684,0.542,0.001,1.671,2549.0,5547.0,1.0
U[436],0.75,0.583,0.0,1.802,1886.0,4594.0,1.0
U[437],0.455,0.389,0.0,1.155,5599.0,10310.0,1.0
U[438],0.577,0.472,0.0,1.437,3150.0,7167.0,1.0
U[439],0.576,0.466,0.0,1.427,2705.0,7181.0,1.0
U[440],1.162,0.85,0.0,2.715,967.0,2843.0,1.0
U[441],0.546,0.447,0.0,1.356,3504.0,7939.0,1.0
U[442],0.629,0.511,0.0,1.55,2630.0,5630.0,1.0
U[443],0.625,0.511,0.0,1.556,2661.0,5842.0,1.0
U[444],0.478,0.403,0.0,1.211,4646.0,8953.0,1.0
U[445],0.669,0.536,0.0,1.653,2135.0,5876.0,1.0
U[446],0.73,0.581,0.0,1.791,1833.0,4908.0,1.0
U[447],0.58,0.476,0.0,1.454,3103.0,6428.0,1.0
U[448],0.421,0.358,0.0,1.078,6247.0,11445.0,1.0
U[449],0.672,0.536,0.0,1.638,2353.0,5189.0,1.0
U[450],1.118,0.831,0.0,2.619,1057.0,2761.0,1.0
U[451],0.541,0.443,0.0,1.352,3334.0,8156.0,1.0
U[452],0.534,0.44,0.0,1.327,3929.0,8496.0,1.0
U[453],0.663,0.521,0.0,1.595,2187.0,5088.0,1.0
U[454],0.474,0.391,0.0,1.19,4429.0,7804.0,1.0
U[455],0.475,0.399,0.0,1.202,4482.0,9018.0,1.0
U[456],0.398,0.345,0.0,1.033,7807.0,10364.0,1.0
U[457],0.468,0.398,0.0,1.185,4827.0,10574.0,1.0
U[458],0.626,0.503,0.0,1.536,2613.0,7355.0,1.0
U[459],0.466,0.392,0.0,1.172,5211.0,9075.0,1.0
U[460],0.74,0.583,0.0,1.797,2026.0,4903.0,1.0
U[461],0.834,0.647,0.0,2.001,1556.0,4050.0,1.0
U[462],0.5,0.415,0.0,1.25,4552.0,9438.0,1.0
U[463],0.614,0.501,0.0,1.533,2747.0,6053.0,1.0
U[464],0.662,0.528,0.0,1.622,2271.0,5108.0,1.0
U[465],0.598,0.484,0.0,1.48,2756.0,5879.0,1.0
U[466],0.444,0.375,0.0,1.127,5751.0,9896.0,1.0
U[467],0.427,0.363,0.0,1.09,6853.0,10299.0,1.0
U[468],0.543,0.448,0.0,1.354,3806.0,7547.0,1.0
U[469],0.88,0.68,0.0,2.127,1446.0,3638.0,1.0
U[470],1.028,0.769,0.0,2.455,1164.0,3210.0,1.0
U[471],0.52,0.43,0.0,1.308,4089.0,9506.0,1.0
U[472],0.474,0.399,0.0,1.198,4235.0,8702.0,1.0
U[473],0.665,0.533,0.0,1.639,2240.0,5829.0,1.0
U[474],0.44,0.364,0.0,1.101,5136.0,10419.0,1.0
U[475],0.747,0.588,0.0,1.823,1870.0,4591.0,1.0
U[476],0.411,0.353,0.0,1.056,6710.0,9734.0,1.0
U[477],0.61,0.492,0.0,1.5,2791.0,6503.0,1.0
U[478],0.901,0.691,0.0,2.158,1362.0,3663.0,1.0
U[479],0.597,0.478,0.0,1.471,2985.0,6336.0,1.0
U[480],0.553,0.451,0.0,1.383,3155.0,7289.0,1.0
U[481],0.406,0.35,0.0,1.038,6304.0,10177.0,1.0
U[482],0.594,0.488,0.0,1.493,2868.0,6484.0,1.0
U[483],0.513,0.422,0.0,1.287,4332.0,8780.0,1.0
U[484],0.432,0.368,0.0,1.102,5740.0,11117.0,1.0
U[485],0.875,0.675,0.0,2.103,1328.0,3697.0,1.0
U[486],0.632,0.512,0.0,1.574,2508.0,6606.0,1.0
U[487],0.528,0.435,0.0,1.323,3954.0,9555.0,1.0
U[488],0.597,0.488,0.0,1.482,2786.0,5627.0,1.0
U[489],0.522,0.434,0.0,1.319,4073.0,8864.0,1.0
U[490],0.409,0.35,0.0,1.049,6536.0,10265.0,1.0
U[491],0.659,0.524,0.0,1.612,2285.0,5980.0,1.0
U[492],0.774,0.608,0.0,1.872,1640.0,4891.0,1.0
U[493],0.684,0.545,0.0,1.683,2070.0,4560.0,1.0
U[494],0.864,0.67,0.0,2.075,1460.0,3776.0,1.0
U[495],0.436,0.366,0.0,1.106,5478.0,10720.0,1.0
U[496],0.506,0.42,0.0,1.269,4137.0,8844.0,1.0
U[497],0.505,0.419,0.0,1.256,4128.0,7416.0,1.0
U[498],0.777,0.608,0.0,1.87,1714.0,4063.0,1.0
U[499],0.693,0.552,0.0,1.694,2330.0,4837.0,1.0
