,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,4.714,0.323,4.114,5.308,1843.0,5258.0,1.0
beta,1.911,0.058,1.802,2.018,38217.0,18156.0,1.0
sigma_u,0.73,0.251,0.301,1.202,432.0,1085.0,1.0
sigma_v,1.357,0.143,1.1,1.631,1378.0,2124.0,1.0
lam,-0.635,0.361,-1.219,-0.0,10567.0,10653.0,1.0
U[0],0.832,0.63,0.001,1.98,1232.0,3636.0,1.0
U[1],0.322,0.28,0.0,0.831,11510.0,12011.0,1.0
U[2],0.566,0.453,0.0,1.39,2626.0,6214.0,1.0
U[3],0.609,0.49,0.0,1.503,2327.0,5438.0,1.0
U[4],0.884,0.663,0.0,2.11,1224.0,3366.0,1.0
U[5],0.686,0.535,0.0,1.659,1749.0,5160.0,1.0
U[6],0.394,0.336,0.0,1.007,6340.0,11762.0,1.0
U[7],0.647,0.514,0.0,1.58,1976.0,5046.0,1.0
U[8],0.586,0.464,0.0,1.428,2331.0,5956.0,1.0
U[9],0.446,0.376,0.0,1.129,4975.0,8565.0,1.0
U[10],0.55,0.443,0.0,1.363,2716.0,6418.0,1.0
U[11],0.624,0.494,0.0,1.518,2403.0,4827.0,1.0
U[12],0.758,0.584,0.0,1.817,1504.0,3788.0,1.0
U[13],0.455,0.373,0.0,1.132,4151.0,8397.0,1.0
U[14],0.591,0.471,0.0,1.444,2449.0,5385.0,1.0
U[15],0.401,0.338,0.0,1.018,5160.0,11082.0,1.0
U[16],0.894,0.677,0.0,2.118,1173.0,3102.0,1.0
U[17],0.599,0.477,0.0,1.47,2284.0,5547.0,1.0
U[18],0.402,0.339,0.0,1.013,6464.0,10986.0,1.0
U[19],0.511,0.419,0.0,1.282,3123.0,7852.0,1.0
U[20],0.647,0.511,0.0,1.566,1918.0,5190.0,1.0
U[21],0.499,0.412,0.0,1.255,3283.0,7233.0,1.0
U[22],0.698,0.55,0.0,1.712,1822.0,4534.0,1.0
U[23],0.45,0.371,0.0,1.133,4206.0,8541.0,1.0
U[24],0.503,0.409,0.0,1.248,3687.0,8459.0,1.0
U[25],0.492,0.403,0.0,1.224,4353.0,8665.0,1.0
U[26],0.52,0.425,0.0,1.304,2913.0,7121.0,1.0
U[27],0.89,0.667,0.0,2.108,1114.0,3438.0,1.0
U[28],0.38,0.326,0.0,0.985,6625.0,11001.0,1.0
U[29],0.568,0.451,0.0,1.389,2776.0,7183.0,1.0
U[30],0.466,0.384,0.0,1.165,4426.0,8983.0,1.0
U[31],0.657,0.517,0.0,1.591,2026.0,5088.0,1.0
U[32],0.444,0.373,0.0,1.134,4533.0,10145.0,1.0
U[33],0.523,0.428,0.0,1.308,3268.0,7840.0,1.0
U[34],0.412,0.346,0.0,1.04,6142.0,10835.0,1.0
U[35],0.62,0.487,0.0,1.505,2112.0,5075.0,1.0
U[36],0.832,0.633,0.0,1.974,1219.0,3063.0,1.0
U[37],0.767,0.594,0.0,1.851,1476.0,3764.0,1.0
U[38],0.539,0.434,0.0,1.341,3160.0,6668.0,1.0
U[39],0.504,0.406,0.0,1.242,3064.0,7361.0,1.0
U[40],0.414,0.35,0.0,1.059,6092.0,10745.0,1.0
U[41],0.498,0.405,0.0,1.234,3677.0,7890.0,1.0
U[42],0.697,0.535,0.0,1.668,1742.0,4766.0,1.0
U[43],0.719,0.559,0.0,1.743,1764.0,4119.0,1.0
U[44],0.451,0.372,0.0,1.129,4207.0,8529.0,1.0
U[45],0.446,0.368,0.0,1.121,4534.0,9526.0,1.0
U[46],0.663,0.514,0.0,1.593,1941.0,5303.0,1.0
U[47],0.574,0.46,0.0,1.414,2549.0,6169.0,1.0
U[48],0.407,0.343,0.0,1.028,6281.0,11165.0,1.0
U[49],0.612,0.488,0.0,1.507,2165.0,4787.0,1.0
U[50],0.7,0.547,0.0,1.706,1793.0,4292.0,1.0
U[51],0.312,0.277,0.0,0.824,10546.0,11576.0,1.0
U[52],0.419,0.352,0.0,1.063,5497.0,9424.0,1.0
U[53],0.511,0.419,0.0,1.275,3071.0,7994.0,1.0
U[54],0.868,0.652,0.0,2.049,1200.0,3273.0,1.0
U[55],0.763,0.59,0.0,1.847,1513.0,4255.0,1.0
U[56],0.525,0.429,0.0,1.304,3094.0,7428.0,1.0
