,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,5.26,0.409,4.472,6.0,2044.0,4675.0,1.0
beta,1.944,0.11,1.743,2.157,13120.0,18265.0,1.0
sigma_u,0.884,0.372,0.291,1.578,656.0,1740.0,1.0
sigma_v,1.433,0.269,0.935,1.946,1475.0,1933.0,1.0
lam,-1.247,0.693,-2.378,-0.0,4312.0,5353.0,1.0
U[0],0.545,0.443,0.0,1.349,3754.0,8043.0,1.0
U[1],0.757,0.595,0.0,1.858,2224.0,5344.0,1.0
U[2],1.25,0.965,0.0,3.069,1150.0,2702.0,1.0
U[3],0.993,0.766,0.0,2.426,1442.0,4107.0,1.0
U[4],0.431,0.363,0.0,1.084,6326.0,7107.0,1.0
U[5],0.731,0.58,0.001,1.81,2193.0,5645.0,1.0
U[6],0.4,0.338,0.0,1.014,7858.0,8551.0,1.0
U[7],1.233,0.944,0.0,3.004,1089.0,2927.0,1.0
U[8],0.579,0.473,0.0,1.442,2879.0,6616.0,1.0
U[9],0.831,0.652,0.0,2.041,1809.0,4735.0,1.0
U[10],0.421,0.353,0.0,1.062,7183.0,8174.0,1.0
U[11],0.64,0.506,0.0,1.567,3055.0,7087.0,1.0
U[12],0.432,0.362,0.0,1.088,7077.0,8811.0,1.0
U[13],0.993,0.769,0.001,2.432,1356.0,3177.0,1.0
U[14],1.11,0.866,0.0,2.74,1333.0,3273.0,1.0
U[15],0.857,0.671,0.0,2.105,1700.0,4397.0,1.0
U[16],0.936,0.736,0.0,2.3,1467.0,3848.0,1.0
U[17],0.688,0.547,0.0,1.696,2377.0,6577.0,1.0
U[18],0.992,0.765,0.0,2.409,1347.0,3651.0,1.0
U[19],0.67,0.527,0.0,1.628,2666.0,6995.0,1.0
U[20],0.561,0.448,0.0,1.378,3769.0,8284.0,1.0
U[21],0.399,0.337,0.0,1.014,6512.0,7533.0,1.0
U[22],0.447,0.372,0.0,1.125,6349.0,6909.0,1.0
U[23],0.392,0.331,0.0,0.996,7418.0,8483.0,1.0
U[24],0.849,0.667,0.0,2.102,1694.0,4816.0,1.0
U[25],0.678,0.536,0.0,1.658,2488.0,6305.0,1.0
U[26],0.422,0.353,0.0,1.062,7464.0,9399.0,1.0
U[27],0.747,0.591,0.0,1.839,1902.0,6416.0,1.0
U[28],0.733,0.578,0.0,1.811,2157.0,5665.0,1.0
U[29],0.482,0.395,0.0,1.199,5098.0,7984.0,1.0
U[30],0.952,0.743,0.0,2.335,1420.0,4027.0,1.0
U[31],0.451,0.378,0.0,1.139,7317.0,8747.0,1.0
U[32],0.526,0.429,0.0,1.307,3585.0,6616.0,1.0
U[33],0.519,0.419,0.0,1.278,4408.0,7022.0,1.0
U[34],0.646,0.514,0.0,1.586,2805.0,7549.0,1.0
U[35],0.524,0.423,0.0,1.297,4064.0,8609.0,1.0
U[36],0.712,0.557,0.0,1.737,2460.0,6741.0,1.0
U[37],0.947,0.748,0.0,2.34,1559.0,3817.0,1.0
U[38],0.571,0.463,0.0,1.422,3536.0,6795.0,1.0
U[39],0.319,0.282,0.0,0.826,10421.0,8153.0,1.0
U[40],0.761,0.596,0.0,1.861,2117.0,5729.0,1.0
U[41],0.606,0.486,0.0,1.487,3041.0,7318.0,1.0
U[42],0.531,0.433,0.0,1.325,4407.0,7796.0,1.0
U[43],0.605,0.488,0.0,1.511,2636.0,5573.0,1.0
U[44],1.06,0.824,0.0,2.607,1243.0,3151.0,1.0
U[45],0.55,0.443,0.0,1.352,4005.0,8593.0,1.0
U[46],0.624,0.502,0.0,1.548,2568.0,7008.0,1.0
U[47],1.315,1.02,0.002,3.257,1104.0,2702.0,1.0
U[48],0.544,0.445,0.0,1.349,3664.0,7261.0,1.0
U[49],0.298,0.263,0.0,0.778,12520.0,9337.0,1.0
U[50],0.973,0.754,0.0,2.379,1579.0,4210.0,1.0
U[51],0.695,0.551,0.0,1.704,2647.0,5530.0,1.0
U[52],0.634,0.504,0.0,1.556,2889.0,7219.0,1.0
U[53],0.984,0.764,0.0,2.404,1439.0,4050.0,1.0
U[54],1.084,0.844,0.0,2.655,1232.0,2986.0,1.0
U[55],0.413,0.354,0.0,1.067,8113.0,9227.0,1.0
U[56],0.855,0.675,0.0,2.111,1736.0,4143.0,1.0
U[57],0.278,0.252,0.0,0.743,11472.0,8529.0,1.0
U[58],1.141,0.9,0.0,2.838,1125.0,3031.0,1.0
U[59],1.431,1.108,0.0,3.515,1000.0,2511.0,1.0
U[60],0.397,0.337,0.0,1.015,7672.0,8680.0,1.0
U[61],0.617,0.497,0.0,1.531,2999.0,7054.0,1.0
U[62],0.42,0.354,0.0,1.072,7149.0,9548.0,1.0
U[63],0.844,0.661,0.0,2.065,1813.0,4478.0,1.0
U[64],0.987,0.777,0.0,2.454,1382.0,3830.0,1.0
U[65],0.668,0.538,0.0,1.666,2733.0,6318.0,1.0
U[66],0.499,0.405,0.0,1.246,4112.0,7630.0,1.0
U[67],0.918,0.718,0.001,2.258,1529.0,4309.0,1.0
U[68],0.608,0.484,0.0,1.483,2866.0,6961.0,1.0
U[69],0.52,0.428,0.0,1.302,4667.0,7676.0,1.0
U[70],0.437,0.365,0.0,1.099,6285.0,7538.0,1.0
U[71],0.591,0.473,0.0,1.466,3373.0,7214.0,1.0
U[72],0.613,0.492,0.0,1.517,2612.0,6162.0,1.0
U[73],0.597,0.469,0.0,1.452,3426.0,7030.0,1.0
U[74],0.541,0.436,0.0,1.331,4364.0,7908.0,1.0
U[75],1.035,0.809,0.0,2.558,1337.0,3451.0,1.0
U[76],0.865,0.669,0.0,2.103,1645.0,4437.0,1.0
U[77],0.946,0.734,0.0,2.325,1450.0,3917.0,1.0
U[78],0.771,0.604,0.0,1.883,2138.0,5950.0,1.0
U[79],0.409,0.349,0.0,1.042,7354.0,7855.0,1.0
U[80],0.874,0.685,0.0,2.142,1655.0,4220.0,1.0
U[81],0.748,0.588,0.0,1.825,2091.0,6348.0,1.0
U[82],0.723,0.572,0.0,1.782,2189.0,5460.0,1.0
U[83],0.427,0.356,0.0,1.065,7014.0,8179.0,1.0
U[84],0.533,0.432,0.0,1.331,3796.0,7985.0,1.0
U[85],1.172,0.907,0.0,2.876,1183.0,3319.0,1.0
U[86],0.717,0.566,0.0,1.777,2391.0,6266.0,1.0
U[87],0.728,0.574,0.0,1.798,2174.0,6101.0,1.0
U[88],0.807,0.64,0.0,2.0,1860.0,4891.0,1.0
U[89],0.695,0.554,0.0,1.711,2402.0,7145.0,1.0
U[90],0.872,0.687,0.0,2.151,1604.0,4491.0,1.0
U[91],0.389,0.328,0.0,0.987,8097.0,7499.0,1.0
U[92],0.669,0.537,0.0,1.649,2514.0,5994.0,1.0
U[93],0.571,0.463,0.0,1.42,3579.0,8398.0,1.0
U[94],0.498,0.411,0.0,1.248,4340.0,7404.0,1.0
U[95],1.412,1.087,0.001,3.474,1001.0,2561.0,1.0
U[96],0.967,0.752,0.0,2.364,1507.0,3861.0,1.0
U[97],0.497,0.406,0.0,1.242,5725.0,7979.0,1.0
U[98],0.55,0.445,0.0,1.363,3671.0,9088.0,1.0
U[99],0.58,0.464,0.0,1.422,3471.0,8537.0,1.0
