,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,5.13,0.356,4.411,5.75,1944.0,5782.0,1.0
beta,1.971,0.101,1.781,2.16,14719.0,16259.0,1.0
sigma_u,0.893,0.361,0.308,1.557,608.0,1620.0,1.01
sigma_v,1.414,0.267,0.903,1.895,1353.0,2069.0,1.0
lam,-1.638,0.764,-2.983,-0.146,6242.0,6239.0,1.0
U[0],0.555,0.428,0.0,1.334,3295.0,7229.0,1.0
U[1],0.802,0.614,0.0,1.927,1841.0,4771.0,1.0
U[2],1.329,0.999,0.0,3.176,1051.0,2871.0,1.0
U[3],1.058,0.793,0.0,2.53,1125.0,3999.0,1.01
U[4],0.381,0.315,0.0,0.962,6107.0,5426.0,1.0
U[5],0.649,0.503,0.0,1.569,2529.0,7465.0,1.0
U[6],0.354,0.302,0.0,0.902,10810.0,8592.0,1.0
U[7],1.241,0.922,0.001,2.953,1045.0,3164.0,1.01
U[8],0.534,0.424,0.0,1.308,3548.0,7481.0,1.0
U[9],0.826,0.62,0.0,1.958,1685.0,4333.0,1.0
U[10],0.418,0.339,0.0,1.034,6210.0,7286.0,1.0
U[11],0.664,0.509,0.0,1.597,2287.0,5092.0,1.0
U[12],0.422,0.345,0.0,1.05,6460.0,9034.0,1.0
U[13],1.009,0.756,0.0,2.406,1268.0,4501.0,1.0
U[14],1.064,0.797,0.0,2.54,1229.0,3857.0,1.0
U[15],0.913,0.677,0.0,2.164,1529.0,4081.0,1.0
U[16],0.974,0.735,0.0,2.32,1290.0,3543.0,1.0
U[17],0.642,0.498,0.0,1.558,2420.0,6749.0,1.0
U[18],1.026,0.778,0.0,2.475,1228.0,3267.0,1.0
U[19],0.672,0.52,0.0,1.626,2145.0,4595.0,1.0
U[20],0.605,0.472,0.0,1.477,3120.0,7681.0,1.0
U[21],0.4,0.331,0.0,1.005,6667.0,7640.0,1.0
U[22],0.407,0.337,0.0,1.012,9312.0,9508.0,1.0
U[23],0.392,0.326,0.0,0.985,8019.0,7819.0,1.0
U[24],0.904,0.684,0.0,2.151,1605.0,4580.0,1.0
U[25],0.727,0.559,0.0,1.757,2039.0,6646.0,1.0
U[26],0.457,0.37,0.0,1.134,4868.0,8638.0,1.0
U[27],0.785,0.607,0.0,1.911,1663.0,4003.0,1.0
U[28],0.767,0.585,0.0,1.849,2069.0,5427.0,1.0
U[29],0.444,0.365,0.0,1.115,5583.0,6270.0,1.0
U[30],1.029,0.771,0.0,2.445,1291.0,3523.0,1.0
