,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Normal,0,-657.2259387613544,310.4005261026207,0.0,1.0,12.330975290616307,0.0,True,log
Skew Normal,1,-680.2833962515074,164.87958473128856,23.05745749015286,0.0,14.387881816342508,4.102951947250992,True,log
