,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Skew Normal,0,-142.69934878654604,36.18172322043769,0.0,0.999999999999984,6.028381142701681,0.0,True,log
Normal,1,-148.32645962059567,41.53582126377222,5.627110834049624,1.5987211554602254e-14,6.394618011365878,1.8416012329165383,True,log
