,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Skew Normal,0,-79.92686521907638,14.038908720116765,0.0,0.8177255603592981,5.114602522942706,0.0,True,log
Normal,1,-80.84287387753481,19.061790318053603,0.9160086584584359,0.1822744396407019,4.502366602911183,1.7360966207745665,True,log
