,Parameter,Skew Model RMSE,Normal Model RMSE
0,alpha,0.1299999999999999,0.6710000000000003
1,beta,0.028999999999999915,0.052999999999999936
2,sigma_v,0.08600000000000008,0.488
3,sigma_u,0.10699999999999998,0.0050000000000000044
4,lambda,1.138,
