,Parameter,Skew Model RMSE,Normal Model RMSE
0,alpha,0.12600000000000033,0.7919999999999998
1,beta,0.03299999999999992,0.03399999999999981
2,sigma_v,0.050999999999999934,0.559
3,sigma_u,0.07399999999999995,0.2749999999999999
4,lambda,1.087,
