,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,3.384,0.392,2.677,4.137,2905.0,4501.0,1.0
beta,2.28,0.165,1.964,2.583,21733.0,18216.0,1.0
sigma_u,0.861,0.373,0.278,1.551,2064.0,3901.0,1.0
sigma_v,1.272,0.179,0.933,1.623,4225.0,4072.0,1.0
U[0],0.584,0.492,0.0,1.494,7577.0,10149.0,1.0
U[1],1.053,0.832,0.0,2.596,3179.0,6104.0,1.0
U[2],1.017,0.811,0.0,2.524,3248.0,6551.0,1.0
U[3],1.36,1.052,0.0,3.353,2706.0,5007.0,1.0
U[4],0.348,0.312,0.0,0.909,15451.0,9923.0,1.0
U[5],0.556,0.475,0.0,1.416,8484.0,9752.0,1.0
U[6],0.414,0.363,0.0,1.074,12846.0,9896.0,1.0
U[7],0.934,0.746,0.0,2.336,3607.0,7053.0,1.0
U[8],0.536,0.458,0.0,1.378,8637.0,9781.0,1.0
U[9],0.765,0.628,0.0,1.926,4711.0,9070.0,1.0
U[10],0.527,0.439,0.0,1.321,8195.0,9290.0,1.0
U[11],0.724,0.593,0.0,1.827,5266.0,8992.0,1.0
U[12],0.601,0.503,0.0,1.515,7094.0,10314.0,1.0
U[13],0.534,0.451,0.0,1.36,8531.0,9466.0,1.0
U[14],0.642,0.531,0.0,1.617,6437.0,11194.0,1.0
U[15],0.612,0.513,0.0,1.564,6641.0,9536.0,1.0
U[16],0.959,0.781,0.0,2.414,3834.0,7328.0,1.0
U[17],0.444,0.387,0.0,1.149,11791.0,9453.0,1.0
U[18],1.008,0.803,0.0,2.509,3515.0,6745.0,1.0
U[19],0.743,0.614,0.0,1.877,4933.0,8400.0,1.0
U[20],0.426,0.371,0.0,1.107,12016.0,9708.0,1.0
U[21],0.625,0.519,0.0,1.581,6975.0,10012.0,1.0
U[22],0.595,0.505,0.0,1.514,6754.0,9007.0,1.0
U[23],0.692,0.575,0.0,1.754,5201.0,8990.0,1.0
U[24],0.913,0.743,0.0,2.292,3764.0,6833.0,1.0
U[25],0.712,0.582,0.0,1.788,5519.0,9333.0,1.0
U[26],0.556,0.471,0.0,1.415,7998.0,9386.0,1.0
U[27],0.496,0.425,0.0,1.272,9390.0,10780.0,1.0
U[28],0.601,0.496,0.0,1.516,6853.0,10314.0,1.0
U[29],0.665,0.555,0.0,1.686,5368.0,9682.0,1.0
U[30],0.731,0.599,0.0,1.818,4731.0,8561.0,1.0
U[31],0.737,0.612,0.0,1.866,5059.0,10027.0,1.0
U[32],0.881,0.713,0.0,2.204,3573.0,7109.0,1.0
U[33],0.543,0.462,0.0,1.393,8202.0,9513.0,1.0
U[34],0.647,0.539,0.0,1.639,6065.0,9912.0,1.0
U[35],0.935,0.761,0.0,2.358,3679.0,7095.0,1.0
U[36],0.507,0.431,0.0,1.299,9324.0,10396.0,1.0
U[37],1.167,0.916,0.001,2.889,3062.0,5902.0,1.0
U[38],1.049,0.839,0.0,2.609,3356.0,6205.0,1.0
U[39],0.504,0.433,0.0,1.287,10381.0,9731.0,1.0
U[40],0.655,0.542,0.0,1.649,5161.0,8497.0,1.0
U[41],0.508,0.438,0.0,1.306,9337.0,10099.0,1.0
U[42],0.569,0.479,0.0,1.436,7469.0,10037.0,1.0
U[43],0.626,0.517,0.0,1.567,6220.0,8563.0,1.0
U[44],0.504,0.433,0.0,1.298,10595.0,10843.0,1.0
U[45],0.322,0.289,0.0,0.844,16900.0,11801.0,1.0
U[46],0.737,0.613,0.0,1.856,5298.0,9298.0,1.0
U[47],0.934,0.747,0.0,2.329,3767.0,8081.0,1.0
U[48],0.471,0.4,0.0,1.2,10967.0,9963.0,1.0
U[49],0.555,0.471,0.0,1.415,7359.0,9050.0,1.0
