,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
U[90],0.953,0.691,0.0,2.196,847.0,4097.0,1.0
U[91],0.42,0.35,0.0,1.064,10439.0,9965.0,1.0
U[92],0.713,0.539,0.0,1.684,1980.0,7024.0,1.0
U[93],0.605,0.467,0.0,1.455,2546.0,7304.0,1.0
U[94],0.636,0.487,0.0,1.51,2086.0,8095.0,1.0
U[95],1.829,1.145,0.001,3.796,432.0,2432.0,1.0
U[96],1.2,0.822,0.0,2.648,646.0,3359.0,1.0
U[97],0.5,0.409,0.0,1.252,5761.0,8850.0,1.0
U[98],0.534,0.423,0.0,1.291,4141.0,8947.0,1.0
U[99],0.615,0.475,0.0,1.479,2242.0,9021.0,1.0
