,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,4.467,0.479,3.524,5.352,3956.0,7737.0,1.0
beta,2.24,0.156,1.942,2.529,20252.0,17800.0,1.0
sigma_u,0.895,0.391,0.288,1.637,1579.0,2832.0,1.0
sigma_v,1.653,0.327,1.05,2.268,3826.0,4190.0,1.0
lam,-1.689,0.772,-3.133,-0.239,9154.0,8971.0,1.0
U[0],0.632,0.51,0.0,1.571,5662.0,8891.0,1.0
U[1],1.116,0.896,0.0,2.832,2558.0,4312.0,1.0
U[2],1.032,0.828,0.001,2.582,2693.0,4954.0,1.0
U[3],1.334,1.093,0.0,3.453,2171.0,3972.0,1.0
U[4],0.292,0.269,0.0,0.781,20810.0,11903.0,1.0
U[5],0.576,0.47,0.0,1.444,6159.0,9362.0,1.0
U[6],0.389,0.341,0.0,1.011,11896.0,10096.0,1.0
U[7],1.039,0.837,0.0,2.618,2891.0,5111.0,1.0
U[8],0.584,0.471,0.0,1.445,5742.0,9744.0,1.0
U[9],0.868,0.698,0.0,2.173,3111.0,5829.0,1.0
U[10],0.539,0.444,0.0,1.347,6936.0,9557.0,1.0
U[11],0.793,0.636,0.0,1.978,4012.0,7829.0,1.0
U[12],0.634,0.516,0.0,1.58,5278.0,7750.0,1.0
U[13],0.573,0.47,0.0,1.438,6160.0,10474.0,1.0
U[14],0.727,0.586,0.0,1.817,3908.0,8969.0,1.0
U[15],0.617,0.502,0.0,1.544,5618.0,8366.0,1.0
U[16],0.968,0.779,0.0,2.425,2892.0,5745.0,1.0
U[17],0.428,0.366,0.0,1.097,11552.0,11050.0,1.0
U[18],1.087,0.879,0.0,2.765,2560.0,5404.0,1.0
U[19],0.842,0.675,0.0,2.105,3373.0,6181.0,1.0
U[20],0.406,0.344,0.0,1.028,10619.0,10048.0,1.0
U[21],0.659,0.531,0.0,1.625,5537.0,8976.0,1.0
U[22],0.612,0.496,0.0,1.517,5525.0,8438.0,1.0
U[23],0.749,0.598,0.0,1.84,3845.0,8379.0,1.0
U[24],1.034,0.835,0.0,2.618,2813.0,5133.0,1.0
U[25],0.727,0.584,0.0,1.808,4578.0,7963.0,1.0
U[26],0.594,0.481,0.0,1.477,6712.0,10328.0,1.0
U[27],0.489,0.409,0.0,1.24,7607.0,8652.0,1.0
U[28],0.633,0.513,0.0,1.57,4865.0,8489.0,1.0
U[29],0.729,0.589,0.0,1.823,4143.0,8362.0,1.0
U[30],0.802,0.635,0.0,1.985,3679.0,7988.0,1.0
U[31],0.78,0.641,0.0,1.95,3693.0,7306.0,1.0
U[32],0.924,0.741,0.0,2.328,2856.0,5361.0,1.0
U[33],0.561,0.461,0.0,1.407,5834.0,7006.0,1.0
U[34],0.665,0.543,0.0,1.67,5285.0,8945.0,1.0
U[35],0.919,0.736,0.0,2.291,3147.0,6143.0,1.0
U[36],0.524,0.432,0.0,1.315,6356.0,8787.0,1.0
U[37],1.18,0.952,0.0,2.991,2415.0,4229.0,1.0
U[38],1.113,0.907,0.0,2.831,2681.0,4630.0,1.0
U[39],0.502,0.416,0.0,1.253,8205.0,9406.0,1.0
U[40],0.721,0.583,0.0,1.796,4122.0,7920.0,1.0
U[41],0.519,0.428,0.0,1.301,6979.0,8373.0,1.0
U[42],0.619,0.501,0.0,1.543,5889.0,9581.0,1.0
U[43],0.658,0.524,0.0,1.621,4531.0,7445.0,1.0
U[44],0.514,0.422,0.0,1.295,6962.0,9420.0,1.0
U[45],0.285,0.261,0.0,0.751,16438.0,9970.0,1.0
U[46],0.768,0.619,0.0,1.924,3914.0,8097.0,1.0
U[47],1.002,0.803,0.0,2.516,2754.0,4786.0,1.0
U[48],0.458,0.385,0.0,1.155,8977.0,9440.0,1.0
U[49],0.547,0.449,0.0,1.375,7015.0,9327.0,1.0
