,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Normal,0,-322.47400885667037,77.67667250177294,0.0,1.0,11.644100129970061,0.0,True,log
Skew Normal,1,-323.8196484280304,49.27793002743772,1.3456395713600866,0.0,11.613957666010137,0.7934742789181971,True,log
