,Sample Size (n),Skew Model RMSE (U),Normal Model RMSE (U)
0,50,0.7670671328828776,0.7657139975167945
1,100,0.7283647417009169,0.7294092099250632
2,200,0.6829698393584904,0.7304547351473076
3,500,0.6605561973612827,0.6589931792178088
