,Sample Size (n),Skew Model RMSE (U),Normal Model RMSE (U)
0,50,0.7880597184693412,0.8202009465684738
1,100,0.7599104884995165,0.7939817513042738
2,200,0.7036994490948566,0.9463613757900962
3,500,0.6916505934174557,0.9834260017098774
