,Sample Size (n),Skew Model RMSE (U),Normal Model RMSE (U)
0,50,0.7719366397657608,0.7716478676389636
1,100,0.7406456497932585,0.7556463802317541
2,200,0.6951909342507728,0.8283971940033305
3,500,0.6649171358675962,0.6619395922567524
