,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Normal,0,-166.30555652773205,24.679524849525933,0.0,0.9999999999999998,6.630133318607763,0.0,True,log
Skew Normal,1,-166.6118203236266,22.949774556432033,0.3062637958945622,2.220446049250313e-16,6.749459730394557,0.5336761084755426,True,log
