,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,3.711,0.396,2.988,4.476,3687.0,5999.0,1.0
beta,2.329,0.183,1.985,2.673,22980.0,17068.0,1.0
sigma_u,0.823,0.346,0.287,1.48,2336.0,4490.0,1.0
sigma_v,1.435,0.177,1.104,1.773,7634.0,8261.0,1.0
U[0],0.562,0.484,0.0,1.444,8577.0,9309.0,1.0
U[1],0.832,0.684,0.0,2.098,4715.0,8186.0,1.0
U[2],1.028,0.827,0.0,2.554,3666.0,7404.0,1.0
U[3],1.104,0.892,0.0,2.767,3543.0,6817.0,1.0
U[4],0.372,0.335,0.0,0.979,15115.0,10548.0,1.0
U[5],0.596,0.51,0.0,1.524,7988.0,9700.0,1.0
U[6],0.435,0.385,0.0,1.127,12040.0,10772.0,1.0
U[7],0.693,0.581,0.0,1.757,5430.0,8831.0,1.0
U[8],0.498,0.432,0.0,1.28,9631.0,10041.0,1.0
U[9],0.63,0.537,0.0,1.606,7103.0,9701.0,1.0
U[10],0.54,0.465,0.0,1.386,8524.0,9832.0,1.0
U[11],0.657,0.555,0.0,1.683,5916.0,8023.0,1.0
U[12],0.61,0.519,0.0,1.555,7389.0,9217.0,1.0
U[13],0.511,0.437,0.0,1.309,8852.0,9730.0,1.0
U[14],0.559,0.478,0.0,1.436,8366.0,9419.0,1.0
U[15],0.682,0.57,0.0,1.728,6097.0,9850.0,1.0
U[16],0.94,0.775,0.0,2.352,4021.0,7288.0,1.0
U[17],0.447,0.393,0.0,1.153,9479.0,8524.0,1.0
U[18],0.777,0.646,0.0,1.971,5444.0,9416.0,1.0
U[19],0.591,0.506,0.0,1.515,7616.0,10431.0,1.0
U[20],0.432,0.377,0.0,1.123,13218.0,10735.0,1.0
U[21],0.622,0.532,0.0,1.601,7018.0,9987.0,1.0
U[22],0.672,0.564,0.0,1.692,6135.0,9569.0,1.0
U[23],0.656,0.56,0.0,1.682,5853.0,8904.0,1.0
U[24],0.708,0.594,0.0,1.784,6462.0,10363.0,1.0
U[25],0.815,0.676,0.0,2.062,4531.0,8598.0,1.0
U[26],0.541,0.472,0.0,1.401,9446.0,9897.0,1.0
U[27],0.542,0.466,0.0,1.382,9745.0,10935.0,1.0
U[28],0.633,0.529,0.0,1.596,6218.0,9097.0,1.0
U[29],0.657,0.556,0.0,1.677,6901.0,11195.0,1.0
U[30],0.67,0.57,0.0,1.716,6126.0,9327.0,1.0
U[31],0.743,0.627,0.0,1.881,5204.0,10026.0,1.0
U[32],0.896,0.735,0.0,2.235,4377.0,8898.0,1.0
U[33],0.586,0.504,0.0,1.5,8229.0,9673.0,1.0
U[34],0.656,0.557,0.0,1.665,6918.0,9326.0,1.0
U[35],1.124,0.895,0.0,2.811,3372.0,7152.0,1.0
U[36],0.499,0.436,0.0,1.29,10426.0,10913.0,1.0
U[37],0.983,0.795,0.0,2.441,3881.0,7897.0,1.0
U[38],0.87,0.715,0.0,2.174,4542.0,8530.0,1.0
U[39],0.556,0.48,0.0,1.428,8044.0,9624.0,1.0
U[40],0.637,0.541,0.0,1.623,7070.0,10624.0,1.0
U[41],0.54,0.469,0.0,1.403,8132.0,9459.0,1.0
U[42],0.525,0.451,0.0,1.33,9178.0,10256.0,1.0
U[43],0.639,0.54,0.0,1.624,6575.0,10775.0,1.0
U[44],0.518,0.444,0.0,1.327,9627.0,10305.0,1.0
U[45],0.301,0.276,0.0,0.8,19627.0,10886.0,1.0
U[46],0.754,0.627,0.0,1.912,5921.0,10441.0,1.0
U[47],0.769,0.638,0.0,1.941,5671.0,9312.0,1.0
U[48],0.504,0.427,0.0,1.276,9990.0,8967.0,1.0
U[49],0.615,0.52,0.0,1.562,7190.0,10288.0,1.0
