,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,4.832,0.235,4.384,5.266,1369.0,3618.0,1.0
beta,2.025,0.076,1.881,2.169,15431.0,16487.0,1.0
sigma_u,0.866,0.331,0.334,1.477,335.0,943.0,1.02
sigma_v,1.46,0.238,0.968,1.866,556.0,880.0,1.01
lam,-1.969,0.62,-3.152,-0.739,1955.0,1693.0,1.0
U[0],0.699,0.527,0.0,1.669,1419.0,4538.0,1.0
U[1],0.446,0.363,0.0,1.112,4927.0,9370.0,1.0
U[2],0.959,0.713,0.0,2.258,851.0,2684.0,1.01
U[3],0.75,0.562,0.0,1.774,1290.0,3794.0,1.01
U[4],0.447,0.356,0.0,1.088,4489.0,8202.0,1.0
U[5],0.565,0.431,0.0,1.342,2619.0,6971.0,1.0
U[6],1.124,0.833,0.0,2.663,574.0,2004.0,1.01
U[7],0.499,0.395,0.0,1.215,4142.0,7349.0,1.0
U[8],0.303,0.258,0.0,0.77,9422.0,7932.0,1.0
U[9],0.57,0.432,0.0,1.355,2706.0,8532.0,1.0
U[10],0.463,0.371,0.0,1.138,3848.0,5418.0,1.0
U[11],0.31,0.264,0.0,0.789,10852.0,8851.0,1.0
U[12],0.49,0.385,0.0,1.19,3821.0,7722.0,1.0
U[13],0.91,0.673,0.0,2.145,943.0,3058.0,1.01
U[14],0.632,0.477,0.0,1.501,1992.0,5220.0,1.0
U[15],1.094,0.82,0.0,2.614,664.0,2122.0,1.01
U[16],0.768,0.576,0.0,1.825,1222.0,3702.0,1.01
U[17],0.541,0.422,0.0,1.307,2589.0,6460.0,1.0
U[18],0.51,0.397,0.0,1.226,3664.0,7273.0,1.0
U[19],0.955,0.719,0.0,2.281,782.0,3017.0,1.01
U[20],0.989,0.737,0.0,2.362,789.0,2459.0,1.01
U[21],0.766,0.574,0.0,1.827,1250.0,4172.0,1.01
U[22],0.598,0.46,0.0,1.436,2371.0,6813.0,1.0
U[23],0.64,0.483,0.0,1.522,1695.0,5632.0,1.0
U[24],0.563,0.436,0.0,1.357,2687.0,6594.0,1.0
U[25],0.626,0.472,0.0,1.493,2034.0,6770.0,1.0
U[26],0.606,0.466,0.0,1.459,2391.0,5684.0,1.0
U[27],1.15,0.858,0.0,2.727,624.0,2080.0,1.01
U[28],0.695,0.517,0.0,1.636,1663.0,4614.0,1.0
U[29],0.214,0.195,0.0,0.569,11102.0,7811.0,1.0
U[30],0.875,0.649,0.0,2.059,1082.0,2840.0,1.0
U[31],0.926,0.701,0.0,2.205,947.0,2596.0,1.01
U[32],0.668,0.509,0.0,1.603,2085.0,5632.0,1.0
U[33],0.692,0.516,0.0,1.636,1731.0,4939.0,1.0
U[34],0.852,0.635,0.0,2.024,952.0,3312.0,1.01
U[35],0.863,0.642,0.001,2.042,1006.0,3222.0,1.01
U[36],0.404,0.325,0.0,0.993,5311.0,7946.0,1.0
U[37],0.491,0.379,0.0,1.181,3244.0,8422.0,1.0
U[38],0.927,0.688,0.0,2.194,904.0,2821.0,1.01
U[39],0.332,0.28,0.0,0.838,7502.0,8713.0,1.0
U[40],0.452,0.361,0.0,1.11,3665.0,7995.0,1.0
U[41],0.375,0.306,0.0,0.926,6600.0,8999.0,1.0
U[42],0.372,0.306,0.0,0.929,7063.0,8597.0,1.0
U[43],0.308,0.268,0.0,0.797,11054.0,8730.0,1.0
U[44],0.698,0.524,0.0,1.651,1656.0,3951.0,1.0
U[45],0.491,0.384,0.0,1.196,3668.0,8730.0,1.0
U[46],0.681,0.52,0.0,1.626,1837.0,4988.0,1.0
U[47],0.994,0.737,0.0,2.343,811.0,2441.0,1.01
U[48],1.186,0.888,0.0,2.827,617.0,1939.0,1.01
U[49],0.292,0.254,0.0,0.763,8244.0,8048.0,1.0
U[50],0.578,0.442,0.0,1.387,2332.0,7323.0,1.0
U[51],0.642,0.49,0.0,1.538,1598.0,5187.0,1.0
U[52],0.896,0.662,0.0,2.117,1066.0,3368.0,1.01
U[53],0.779,0.572,0.0,1.805,1289.0,3623.0,1.01
U[54],0.641,0.486,0.0,1.523,1796.0,5253.0,1.0
U[55],0.37,0.304,0.0,0.922,6666.0,8844.0,1.0
U[56],0.407,0.334,0.0,1.021,4426.0,6810.0,1.0
U[57],0.811,0.607,0.0,1.918,1193.0,3536.0,1.0
U[58],0.622,0.47,0.0,1.474,2094.0,5977.0,1.0
U[59],1.291,0.958,0.0,3.061,551.0,1736.0,1.01
U[60],0.231,0.207,0.0,0.605,12208.0,8627.0,1.0
U[61],0.623,0.469,0.0,1.469,1982.0,6659.0,1.0
U[62],0.754,0.565,0.0,1.785,1228.0,3676.0,1.0
U[63],0.478,0.378,0.0,1.172,4133.0,8598.0,1.0
U[64],0.791,0.595,0.0,1.874,1215.0,4223.0,1.0
U[65],0.488,0.384,0.0,1.186,3455.0,8285.0,1.0
U[66],0.71,0.532,0.0,1.675,1421.0,3983.0,1.01
U[67],0.282,0.247,0.0,0.737,10460.0,8333.0,1.0
U[68],0.56,0.431,0.0,1.345,2932.0,7182.0,1.0
U[69],0.331,0.278,0.0,0.842,7331.0,8248.0,1.0
U[70],0.778,0.582,0.0,1.839,1157.0,3801.0,1.0
