,Parameter,Skew Model RMSE,Normal Model RMSE
0,alpha,0.2999999999999998,0.9100000000000001
1,beta,0.08699999999999997,0.08899999999999997
2,sigma_v,0.19399999999999995,0.43900000000000006
3,sigma_u,0.26,0.17300000000000004
4,lambda,0.45099999999999996,
