,Parameter,Skew Model RMSE,Normal Model RMSE
0,alpha,0.6929999999999996,1.616
1,beta,0.2679999999999998,0.2799999999999998
2,sigma_v,0.1200000000000001,0.22799999999999998
3,sigma_u,0.14900000000000002,0.139
4,lambda,0.712,
