,Sample Size (n),Skew Model RMSE (U),Normal Model RMSE (U)
0,50,0.7655702314497386,0.7697659871757991
1,100,0.7361251162195693,0.7397041843027311
2,200,0.6916581445630543,0.7800620334944958
3,500,0.664613303378756,0.6615757910802723
