,Sample Size (n),Skew Model RMSE (U),Normal Model RMSE (U)
0,50,0.7710769239754199,0.7747023250212518
1,100,0.7438531485577065,0.7715134296650032
2,200,0.6943648323730605,0.8612237728356581
3,500,0.6617807383678477,0.7007339488482244
