,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Normal,0,-309.681458709091,86.92315065223886,0.0,1.0,11.107812044296907,0.0,True,log
Skew Normal,1,-313.03308697201953,47.40966201361164,3.351628262928571,0.0,11.350751176026746,0.7496049618415932,True,log
