,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,4.301,0.317,3.688,4.853,327.0,823.0,1.01
beta,2.048,0.09,1.884,2.223,13632.0,16202.0,1.0
sigma_u,1.218,0.369,0.497,1.849,296.0,591.0,1.01
sigma_v,1.092,0.149,0.829,1.368,349.0,1405.0,1.01
U[0],0.73,0.551,0.0,1.716,3048.0,7816.0,1.0
U[1],0.574,0.461,0.0,1.404,5358.0,9505.0,1.0
U[2],1.431,0.872,0.002,2.899,691.0,2874.0,1.0
U[3],0.885,0.624,0.001,1.985,1647.0,6485.0,1.0
U[4],0.768,0.568,0.0,1.79,2456.0,8316.0,1.0
U[5],0.709,0.541,0.0,1.673,2933.0,7946.0,1.0
U[6],1.849,1.033,0.007,3.533,527.0,1904.0,1.0
U[7],0.592,0.467,0.0,1.443,5588.0,9050.0,1.0
U[8],0.476,0.401,0.0,1.21,11757.0,9946.0,1.0
U[9],0.735,0.554,0.0,1.735,2394.0,6538.0,1.0
U[10],0.628,0.496,0.0,1.533,4722.0,8659.0,1.0
U[11],0.414,0.354,0.0,1.067,17506.0,11282.0,1.0
U[12],0.761,0.566,0.0,1.781,2662.0,7116.0,1.0
U[13],1.476,0.886,0.0,2.944,652.0,2526.0,1.0
U[14],0.753,0.559,0.0,1.765,2306.0,7113.0,1.0
U[15],1.403,0.864,0.002,2.855,651.0,1923.0,1.0
U[16],1.115,0.746,0.0,2.407,1014.0,3779.0,1.0
U[17],0.9,0.644,0.0,2.037,1557.0,5777.0,1.0
U[18],0.651,0.502,0.0,1.552,4250.0,8915.0,1.0
U[19],1.099,0.715,0.001,2.336,1045.0,5312.0,1.0
U[20],1.32,0.829,0.001,2.744,789.0,3990.0,1.0
U[21],0.824,0.599,0.0,1.88,1905.0,6576.0,1.0
U[22],0.857,0.613,0.0,1.946,1820.0,7463.0,1.0
U[23],0.792,0.587,0.0,1.842,2037.0,7031.0,1.0
U[24],0.734,0.549,0.0,1.716,2700.0,9494.0,1.0
U[25],0.702,0.535,0.0,1.671,3430.0,9423.0,1.0
U[26],0.964,0.664,0.0,2.123,1385.0,6059.0,1.0
U[27],1.712,0.971,0.003,3.311,569.0,1588.0,1.0
U[28],0.909,0.638,0.0,2.043,1667.0,5945.0,1.0
U[29],0.315,0.287,0.0,0.842,14444.0,8846.0,1.0
U[30],1.047,0.706,0.0,2.269,1132.0,4624.0,1.0
U[31],1.223,0.798,0.001,2.597,881.0,4684.0,1.0
U[32],1.223,0.782,0.0,2.564,874.0,4871.0,1.0
U[33],0.942,0.661,0.0,2.113,1464.0,5200.0,1.0
U[34],1.418,0.859,0.0,2.857,714.0,2590.0,1.0
U[35],1.28,0.806,0.001,2.653,787.0,2765.0,1.0
U[36],0.53,0.429,0.0,1.315,7132.0,9487.0,1.0
U[37],0.475,0.4,0.0,1.203,11446.0,10325.0,1.0
U[38],1.143,0.752,0.0,2.436,976.0,4441.0,1.0
U[39],0.467,0.39,0.0,1.182,9838.0,9634.0,1.0
