,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Normal,0,-88.35933374945563,10.232079497240491,0.0,1.0,5.194829688694697,0.0,False,log
Skew Normal,1,-88.87760167336624,10.13529427979141,0.5182679239105976,0.0,5.481178113452434,0.5573157209630495,True,log
