,Parameter,Skew Model RMSE,Normal Model RMSE
0,alpha,0.5700000000000003,0.09499999999999975
1,beta,0.09400000000000008,0.11499999999999999
2,sigma_v,0.03400000000000003,0.2649999999999999
3,sigma_u,0.08699999999999997,0.06899999999999995
4,lambda,0.39,
